YMCC,fuelups,kml
2002 BMW F650 GS,Added Mar 2013 &bull; 1 fuel-up Property of kjperry09 . N/AAvg L/100km.,N/A
2002 BMW F650 GS,Added Jul 2012 &bull; 4 fuel-ups Property of tessitori . 4.1Avg L/100km.,4.1
2002 BMW F650 GS,Added Dec 2010 &bull; 79 fuel-ups Property of DaveT . 5.1Avg L/100km.,5.1
2002 BMW F650 GS,Added May 2011 Property of alwyngs . N/AAvg L/100km.,N/A
2002 BMW F650 GS,Added Oct 2011 Property of mike0323 . N/AAvg L/100km.,N/A
2001 BMW F650 GS,Added Mar 2013 &bull; 8 fuel-ups Property of EStoner . 3.9Avg L/100km.,3.9
2001 BMW F650 GS,Added Aug 2012 &bull; 7 fuel-ups Property of TDImiser . 4.6Avg L/100km.,4.6
2001 BMW F650 GS,Added Nov 2012 &bull; 7 fuel-ups Property of robertsond . 3.9Avg L/100km.,3.9
2001 BMW F650 GS,Added Sep 2012 &bull; 11 fuel-ups Property of Grimstone . 7.4Avg L/100km.,7.4
2001 BMW F650 GS,Added Dec 2012 &bull; 11 fuel-ups Property of wicelt . 4.5Avg L/100km.,4.5
2001 BMW F650 GS,Added Apr 2012 &bull; 7 fuel-ups Property of gsbro . 4.0Avg L/100km.,4
2001 BMW F650 GS,Added Apr 2010 &bull; 12 fuel-ups Property of astmc . 3.7Avg L/100km.,3.7
2001 BMW F650 GS,Added Apr 2013 &bull; 2 fuel-ups Property of woodshack . 3.5Avg L/100km.,3.5
2001 BMW F650 GS,Added Apr 2012 &bull; 4 fuel-ups Property of yoeddy . 5.0Avg L/100km.,5
2001 BMW F650 GS,Added Aug 2012 Property of rmoore2112 . N/AAvg L/100km.,N/A
2001 BMW F650 GS,Added Dec 2012 Property of iDood . N/AAvg L/100km.,N/A
2001 BMW F650 GS,Added Jun 2010 Property of BriChabot . N/AAvg L/100km.,N/A
2001 BMW F650 GS,Added Jan 2013 Property of 112358 . N/AAvg L/100km.,N/A
2000 BMW F650 GS,Added Jan 2012 &bull; 4 fuel-ups Property of tuaregwind . 11.5Avg L/100km.,11.5
1999 BMW F650 GS,Added Aug 2010 Property of robo . N/AAvg L/100km.,N/A
1998 BMW F650 GS,Added Mar 2012 Property of hbarcello . N/AAvg L/100km.,N/A
1996 BMW F650 GS,Added Sep 2012 Property of frozy . N/AAvg L/100km.,N/A
1995 BMW F650 GS,Added Mar 2013 Property of ianmac001 . N/AAvg L/100km.,N/A
1994 BMW F650 GS,Added May 2011 &bull; 10 fuel-ups Property of bolasch . 5.6Avg L/100km.,5.6
2007 BMW F650 GS Dakar,Added Feb 2013 Property of ptimberlake . N/AAvg L/100km.,N/A
2007 BMW F650 GS Dakar,Added Sep 2011 &bull; 46 fuel-ups Property of RSADualPurpose01 . 4.2Avg L/100km.,4.2
2007 BMW F650 GS Dakar,Added May 2012 &bull; 8 fuel-ups Property of brulpadda . 5.4Avg L/100km.,5.4
2007 BMW F650 GS Dakar,Added May 2012 &bull; 9 fuel-ups Property of posti66 . 3.5Avg L/100km.,3.5
2007 BMW F650 GS Dakar,Added Nov 2011 &bull; 1 fuel-up Property of frostymonkee . 2.8Avg L/100km.,2.8
2007 BMW F650 GS Dakar,Added Nov 2008 Property of jblaze5779. N/AAvg L/100km.,N/A
2007 BMW F650 GS Dakar,Added Nov 2011 Property of budmoto . N/AAvg L/100km.,N/A
2006 BMW F650 GS Dakar,Added Aug 2010 &bull; 47 fuel-ups Property of bilgepump . 4.1Avg L/100km.,4.1
2006 BMW F650 GS Dakar,Added Jan 2010 &bull; 7 fuel-ups Property of wishbone . 3.6Avg L/100km.,3.6
2006 BMW F650 GS Dakar,Added Mar 2013 &bull; 1 fuel-up Property of ChristopherEast . 4.4Avg L/100km.,4.4
2006 BMW F650 GS Dakar,Added Sep 2012 &bull; 6 fuel-ups Property of gnarlyr . 4.0Avg L/100km.,4
2006 BMW F650 GS Dakar,Added Jul 2012 &bull; 4 fuel-ups Property of BeauxEllis . 4.3Avg L/100km.,4.3
2005 BMW F650 GS Dakar,Added Jan 2013 &bull; 7 fuel-ups Property of ciclistapazzo . 4.6Avg L/100km.,4.6
2005 BMW F650 GS Dakar,Added Oct 2011 &bull; 55 fuel-ups Property of mattewis . 4.5Avg L/100km.,4.5
2005 BMW F650 GS Dakar,Added Sep 2010 &bull; 37 fuel-ups Property of FeejerFiend . 3.8Avg L/100km.,3.8
2005 BMW F650 GS Dakar,Added Dec 2010 &bull; 71 fuel-ups Property of Biesie . 4.4Avg L/100km.,4.4
2005 BMW F650 GS Dakar,Added Oct 2011 &bull; 39 fuel-ups Property of cschoo . 4.4Avg L/100km.,4.4
2005 BMW F650 GS Dakar,Added Nov 2012 &bull; 1 fuel-up Property of skylersan . 4.3Avg L/100km.,4.3
2005 BMW F650 GS Dakar,Added Sep 2012 &bull; 6 fuel-ups Property of TomR . 4.3Avg L/100km.,4.3
2005 BMW F650 GS Dakar,Added Apr 2011 Property of xsniper . N/AAvg L/100km.,N/A
2005 BMW F650 GS Dakar,Added Aug 2012 Property of Phantie . N/AAvg L/100km.,N/A
2004 BMW F650 GS Dakar,Added Oct 2011 &bull; 15 fuel-ups Property of MrD . 4.9Avg L/100km.,4.9
2003 BMW F650 GS Dakar,Added Nov 2012 &bull; 21 fuel-ups Property of ascsurveyor . 4.4Avg L/100km.,4.4
2003 BMW F650 GS Dakar,Added Jan 2012 &bull; 1 fuel-up Property of Yetigreenline2 . 6.0Avg L/100km.,6
2003 BMW F650 GS Dakar,Added Jan 2011 &bull; 14 fuel-ups Property of alexTH3man . 5.3Avg L/100km.,5.3
