"YMCC","fuelups","kml"
"1997 Aprilia RS250","Added Aug 2012 &bull; 9 fuel-ups Property of TboneGTS250 .","16.6"
"2007 Aprilia RSV Mille R","Added Aug 2010 &bull; 2 fuel-ups Property of dafke2018 .","12.2"
"2004 Aprilia RSV Mille R","Added Feb 2011 &bull; 9 fuel-ups Property of ToNar .","13.0"
"2004 Aprilia RSV Mille R","Added Jun 2009 Property of kangjin .","N/A"
"2003 Aprilia RSV Mille R","Added Jul 2011 &bull; 16 fuel-ups Property of Rabster .","14.8"
"2003 Aprilia RSV Mille R","Added Dec 2011 Property of cougarrsv .","N/A"
"2003 Aprilia RSV Mille R","Added Nov 2011 Property of col156 .","N/A"
"2002 Aprilia RSV Mille R","Added Jul 2012 Property of maxboxa .","N/A"
"1999 Aprilia RSV Mille R","Added Jun 2011 &bull; 6 fuel-ups Property of adamantis .","13.1"
"2008 Aprilia RSV R 1000","Added Jul 2012 &bull; 1 fuel-up Property of abrinson .","N/A"
"2007 Aprilia RSV R 1000","Added Feb 2012 &bull; 1 fuel-up Property of irgrimm .","N/A"
"2007 Aprilia RSV R 1000","Added Jun 2010 &bull; 4 fuel-ups Property of RSVRyan .","15.2"
"2007 Aprilia RSV R 1000","Added Sep 2009 Property of Basketkase.","N/A"
"2006 Aprilia RSV R 1000","Added Jan 2012 &bull; 12 fuel-ups Property of ezza23 .","15.7"
"2004 Aprilia RSV R 1000","Added Aug 2012 &bull; 3 fuel-ups Property of bigadz7 .","16.2"
"2004 Aprilia RSV R 1000","Added Jul 2012 &bull; 1 fuel-up Property of eddkawasaki .","N/A"
"2004 Aprilia RSV R 1000","Added Sep 2012 Property of SlicedKarma .","N/A"
"2004 Aprilia RSV R 1000","Added Mar 2010 Property of apriliadreamer .","N/A"
"2002 Aprilia RSV R 1000","Added Sep 2012 Property of blamecanada .","N/A"
"2012 Aprilia RSV4","Added May 2012 &bull; 15 fuel-ups Property of ericgullickson .","13.1"
"2012 Aprilia RSV4","Added Aug 2012 &bull; 13 fuel-ups Property of neldy .","11.4"
"2011 Aprilia RSV4","Added Apr 2012 &bull; 2 fuel-ups Property of rescue13.","12.2"
"2010 Aprilia RSV4","Added May 2010 Property of sergi .","N/A"
"2009 Aprilia RSV4","Added Oct 2010 Property of tam5583 .","N/A"
"2009 Aprilia Scarabeo 100","Added Oct 2012 &bull; 18 fuel-ups Property of DrHoatzin .","39.7"
"2008 Aprilia Scarabeo 100","Added Jun 2009 &bull; 42 fuel-ups Property of DDeMars .","40.3"
"2002 Aprilia Scarabeo 150","Added Mar 2012 &bull; 1 fuel-up Property of michelle .","N/A"
"2002 Aprilia Scarabeo 150","Added Jul 2009 &bull; 38 fuel-ups Property of standup.","30.0"
"2002 Aprilia Scarabeo 150","Added Sep 2009 &bull; 2 fuel-ups Property of slowhand .","27.0"
"2001 Aprilia Scarabeo 150","Added Feb 2010 &bull; 40 fuel-ups Property of spartan1984 .","26.1"
