"YMCC","fuelups","kml"
"2008 Buell Buell 1125R","Added Nov 2009 Property of ccryder.","N/A"
"2008 Buell Buell 1125R","Added Jan 2012 Property of Combs .","N/A"
"2002 Buell M2 Cyclone","Added Sep 2012 &bull; 4 fuel-ups Property of matt87951.","21.0"
"2002 Buell M2 Cyclone","Added Aug 2012 &bull; 6 fuel-ups Property of DevilCar .","21.5"
"2000 Buell M2 Cyclone","Added Feb 2010 &bull; 31 fuel-ups Property of sgrant914 .","19.8"
"1995 Buell S2 Thunderbolt","Added Oct 2010 &bull; 23 fuel-ups Property of buelligan .","15.5"
"2001 Buell S3 Thunderbolt","Added Oct 2012 &bull; 25 fuel-ups Property of daaave .","20.1"
"1998 Buell S3 Thunderbolt","Added Apr 2012 &bull; 43 fuel-ups Property of stuberto .","21.0"
"2007 Buell Ulyses","Added Dec 2009 &bull; 7 fuel-ups Property of Mastros2 .","20.5"
"2006 Buell Ulyses","Added Aug 2008 Property of mterrill68.","N/A"
"2000 Buell X1 Lightning","Added Sep 2012 &bull; 1 fuel-up Property of shoo .","22.1"
"1999 Buell X1 Lightning","Added Dec 2009 &bull; 6 fuel-ups Property of Mastros2 .","22.5"
"2009 Buell xb12r","Added Feb 2010 &bull; 3 fuel-ups Property of autoian.","18.3"
"2005 Buell xb12r","Added May 2011 &bull; 26 fuel-ups Property of Bucho65 .","20.5"
"2009 Buell XB12S","Added Jul 2011 &bull; 66 fuel-ups Property of Ron1n .","18.0"
"2009 Buell XB12S","Added Aug 2011 Property of ccbail .","N/A"
"2008 Buell XB12S","Added Aug 2011 Property of FlyingScot .","N/A"
"2007 Buell XB12S","Added Mar 2009 &bull; 53 fuel-ups Property of docutech .","18.3"
"2007 Buell XB12S","Added Dec 2011 &bull; 1 fuel-up Property of destructo .","N/A"
"2007 Buell XB12S","Added Jun 2010 &bull; 17 fuel-ups Property of wicoho .","19.0"
"2007 Buell XB12S","Added Jun 2009 &bull; 3 fuel-ups Property of mbo54.","18.4"
"2005 Buell XB12S","Added May 2011 &bull; 8 fuel-ups Property of oolowrideoo .","20.6"
"2005 Buell XB12S","Added May 2011 &bull; 2 fuel-ups Property of SonicDeathMonkey .","17.7"
"2005 Buell XB12S","Added Mar 2011 Property of 1324 .","N/A"
"2004 Buell XB12S","Added Jun 2010 Property of dorafang .","N/A"
"2004 Buell XB12S","Added Mar 2011 &bull; 1 fuel-up Property of asheikh .","N/A"
"2009 Buell XB12Ss","Added Jan 2010 &bull; 9 fuel-ups Property of sk1d00 .","9.5"
"2009 Buell XB12Ss","Added Jul 2011 &bull; 1 fuel-up Property of LoftyJon .","15.7"
"2009 Buell XB12Ss","Added Feb 2010 &bull; 13 fuel-ups Property of Larigos .","13.0"
"2009 Buell XB12Ss","Added Apr 2012 Property of ejohns4563 .","N/A"
"2008 Buell XB12Ss","Added Apr 2009 &bull; 52 fuel-ups Property of bwestbrook.","15.9"
"2007 Buell XB12Ss","Added Apr 2012 &bull; 16 fuel-ups Property of Grigity .","17.6"
"2007 Buell XB12Ss","Added Apr 2010 &bull; 6 fuel-ups Property of tamadx .","19.3"
"2007 Buell XB12Ss","Added Jul 2009 &bull; 9 fuel-ups Property of revmjcarlson .","17.6"
"2006 Buell XB12Ss","Added Jun 2011 &bull; 7 fuel-ups Property of Travis0001 .","19.1"
"2006 Buell XB12Ss","Added Jul 2010 &bull; 1 fuel-up Property of Twirlin .","N/A"
"2006 Buell XB12Ss","Added Nov 2010 &bull; 44 fuel-ups Property of Froggypwns .","23.6"
"2006 Buell XB12Ss","Added Jun 2010 &bull; 4 fuel-ups Property of mush .","17.3"
"2007 Buell XB12STT","Added May 2012 &bull; 19 fuel-ups Property of buell .","21.4"
"2007 Buell XB12STT","Added Apr 2011 &bull; 8 fuel-ups Property of Malvasius .","18.0"
"2010 Buell XB12X Ulysses","Added Oct 2009 &bull; 258 fuel-ups Property of Volta .","17.2"
"2009 Buell XB12X Ulysses","Added Jul 2011 &bull; 44 fuel-ups Property of argentcorvid .","17.6"
"2009 Buell XB12X Ulysses","Added Mar 2012 &bull; 21 fuel-ups Property of adamsnation .","18.7"
"2009 Buell XB12X Ulysses","Added Dec 2011 Property of cjrodden .","N/A"
"2008 Buell XB12X Ulysses","Added Feb 2011 &bull; 57 fuel-ups Property of mizonp .","17.4"
"2008 Buell XB12X Ulysses","Added May 2012 &bull; 64 fuel-ups Property of Bobino .","17.8"
"2008 Buell XB12X Ulysses","Added Sep 2011 &bull; 3 fuel-ups Property of argv .","17.0"
"2007 Buell XB12X Ulysses","Added Feb 2012 Property of 05psderik .","N/A"
"2006 Buell XB12X Ulysses","Added Oct 2012 &bull; 2 fuel-ups Property of dave186 .","20.2"
"2006 Buell XB12X Ulysses","Added Jun 2012 &bull; 6 fuel-ups Property of leco22 .","17.5"
"2006 Buell XB12X Ulysses","Added Feb 2012 &bull; 58 fuel-ups Property of BuellerBob .","20.5"
"2006 Buell XB12X Ulysses","Added Jun 2011 &bull; 32 fuel-ups Property of allantm .","20.1"
"2006 Buell XB12X Ulysses","Added Aug 2012 &bull; 8 fuel-ups Property of saltcityjeff .","20.2"
"2006 Buell XB12X Ulysses","Added May 2012 &bull; 1 fuel-up Property of lubedirect .","22.7"
"2006 Buell XB12X Ulysses","Added Dec 2011 &bull; 147 fuel-ups Property of motoscoot .","19.0"
"2006 Buell XB12X Ulysses","Added Sep 2012 &bull; 3 fuel-ups Property of Bosgarage57 .","20.1"
"2006 Buell XB12X Ulysses","Added Sep 2012 &bull; 59 fuel-ups Property of willdrive .","19.6"
"2007 Buell XB9R","Added Jan 2009 &bull; 30 fuel-ups Property of cronus1987.","20.2"
"2005 Buell XB9R","Added Nov 2011 &bull; 18 fuel-ups Property of clayatc .","18.4"
"2003 Buell XB9R","Added Feb 2010 &bull; 77 fuel-ups Property of jmdavis984 .","22.1"
"2003 Buell XB9R","Added May 2011 &bull; 18 fuel-ups Property of Deeters .","22.5"
"2003 Buell XB9R","Added May 2012 &bull; 18 fuel-ups Property of Goodwagon .","22.1"
"2003 Buell XB9R","Added Aug 2010 &bull; 23 fuel-ups Property of Buelley .","21.5"
"2003 Buell XB9R","Added Dec 2011 Property of cjrodden .","N/A"
"2003 Buell XB9S","Added Jan 2010 &bull; 135 fuel-ups Property of jeylux .","19.4"
"2003 Buell XB9S","Added Jan 2012 &bull; 14 fuel-ups Property of kluffer .","18.6"
"2003 Buell XB9S","Added Oct 2012 &bull; 3 fuel-ups Property of gov875 .","20.4"
"2003 Buell XB9S","Added Jun 2011 Property of kalagan .","N/A"
"2003 Buell XB9S","Added May 2009 Property of tekrat.","N/A"
"2007 Buell XB9SX","Added Sep 2008 &bull; 39 fuel-ups Property of SandGrain.","19.6"
"2007 Buell XB9SX","Added May 2011 Property of hansena .","N/A"
"2007 Buell XB9SX","Added Aug 2008 &bull; 9 fuel-ups Property of yachius .","19.2"
"2007 Buell XB9SX","Added Dec 2010 &bull; 10 fuel-ups Property of pakole .","16.6"
"2006 Buell XB9SX","Added Sep 2012 &bull; 3 fuel-ups Property of lilengthatcould .","14.3"
"2006 Buell XB9SX","Added May 2011 &bull; 51 fuel-ups Property of akusaru .","17.4"
"2005 Buell XB9SX","Added Nov 2011 &bull; 3 fuel-ups Property of friggs .","14.1"
"2005 Buell XB9SX","Added Jul 2012 &bull; 5 fuel-ups Property of aklejnot .","19.8"
"2005 Buell XB9SX","Added Mar 2010 &bull; 74 fuel-ups Property of moose09876 .","22.4"
"1989 Cagiva C12R","Added Sep 2012 &bull; 6 fuel-ups Property of Faracat .","17.6"
"2000 Cagiva Raptor 1000","Added Apr 2012 &bull; 3 fuel-ups Property of 1337 .","16.4"
"2001 Cagiva Raptor 650","Added Jun 2012 &bull; 8 fuel-ups Property of Urmas .","17.1"
"2003 Cagiva Xtra Raptor","Added Feb 2011 &bull; 68 fuel-ups Property of Miz .","17.1"
"2012 Can-Am Commander XT","Added May 2012 &bull; 9 fuel-ups Property of Zebra .","8.4"
"2011 Can-Am RT","Added Dec 2011 &bull; 7 fuel-ups Property of captblack .","13.5"
"2011 Can-Am RT","Added May 2012 &bull; 4 fuel-ups Property of huntindawg1962 .","12.6"
"2011 Can-Am RT","Added May 2012 Property of floorboards2010 .","N/A"
"2010 Can-Am RT","Added Jan 2012 &bull; 12 fuel-ups Property of NQSpyder .","12.7"
"2010 Can-Am RT","Added Aug 2011 &bull; 5 fuel-ups Property of cdragut .","12.9"
"2010 Can-Am RT","Added Jun 2011 &bull; 3 fuel-ups Property of itisme .","11.8"
"2010 Can-Am RT","Added Jun 2012 &bull; 4 fuel-ups Property of eraser .","11.6"
"2012 Can-Am RT Audio Convenience","Added Apr 2012 &bull; 21 fuel-ups Property of Chupacabra .","15.5"
"2012 Can-Am RT Audio Convenience","Added Jul 2012 &bull; 3 fuel-ups Property of phj .","14.8"
"2012 Can-Am RT Audio Convenience","Added Jul 2012 &bull; 7 fuel-ups Property of AbNormy .","11.8"
"2011 Can-Am RT Audio Convenience","Added Dec 2011 &bull; 121 fuel-ups Property of ArrMiHardies .","12.4"
"2011 Can-Am RT Audio Convenience","Added Jul 2012 &bull; 41 fuel-ups Property of n7wol .","11.9"
"2011 Can-Am RT Audio Convenience","Added Sep 2012 &bull; 74 fuel-ups Property of chitchman .","13.3"
"2011 Can-Am RT Audio Convenience","Added Jul 2012 &bull; 2 fuel-ups Property of prbenson .","11.7"
"2011 Can-Am RT Audio Convenience","Added Jul 2012 Property of suerice .","N/A"
"2010 Can-Am RT Audio Convenience","Added Nov 2011 &bull; 78 fuel-ups Property of HntngTrout .","13.2"
"2010 Can-Am RT Audio Convenience","Added Mar 2012 &bull; 3 fuel-ups Property of bullant12 .","11.9"
"2012 Can-Am RT Limited","Added Sep 2012 &bull; 26 fuel-ups Property of ivorspyder .","11.2"
"2012 Can-Am RT Limited","Added Jul 2012 &bull; 72 fuel-ups Property of vondalyn .","12.6"
"2012 Can-Am RT Limited","Added Jul 2012 &bull; 13 fuel-ups Property of spydman .","11.7"
"2012 Can-Am RT Limited","Added Apr 2012 &bull; 43 fuel-ups Property of slybird .","12.5"
"2012 Can-Am RT Limited","Added May 2012 &bull; 39 fuel-ups Property of harrypottar .","12.5"
"2012 Can-Am RT Limited","Added May 2012 &bull; 6 fuel-ups Property of pgshelby12 .","11.3"
"2012 Can-Am RT Limited","Added Oct 2012 &bull; 2 fuel-ups Property of aperkin .","10.0"
"2012 Can-Am RT Limited","Added Apr 2012 &bull; 81 fuel-ups Property of jbtoups .","11.3"
"2012 Can-Am RT Limited","Added May 2012 &bull; 35 fuel-ups Property of Hammie .","12.3"
"2012 Can-Am RT Limited","Added Oct 2012 &bull; 4 fuel-ups Property of phillig .","11.8"
"2012 Can-Am RT Limited","Added Sep 2012 &bull; 10 fuel-ups Property of cpcddcman .","10.9"
"2012 Can-Am RT Limited","Added Jul 2012 &bull; 17 fuel-ups Property of Lavaflow .","11.6"
"2012 Can-Am RT Limited","Added Sep 2012 &bull; 3 fuel-ups Property of jcoker .","11.5"
"2012 Can-Am RT Limited","Added May 2012 &bull; 46 fuel-ups Property of redroC .","11.1"
"2012 Can-Am RT Limited","Added May 2012 &bull; 12 fuel-ups Property of jayson269 .","11.8"
"2012 Can-Am RT Limited","Added May 2012 &bull; 5 fuel-ups Property of huntindawg1962 .","10.7"
"2012 Can-Am RT Limited","Added Apr 2012 &bull; 10 fuel-ups Property of mspiv .","13.2"
"2012 Can-Am RT Limited","Added Jul 2012 Property of Rustler .","N/A"
"2012 Can-Am RT Limited","Added May 2012 Property of epiphysis .","N/A"
"2011 Can-Am RT Limited","Added Feb 2012 &bull; 19 fuel-ups Property of TrickyRick .","12.1"
"2011 Can-Am RT Limited","Added Oct 2011 &bull; 24 fuel-ups Property of ornerydog7 .","12.6"
"2011 Can-Am RT Limited","Added Oct 2011 &bull; 18 fuel-ups Property of dilyles .","13.9"
"2011 Can-Am RT Limited","Added Jun 2012 &bull; 8 fuel-ups Property of hokiev .","12.4"
"2011 Can-Am RT Limited","Added May 2012 &bull; 103 fuel-ups Property of Zwolf .","10.8"
"2011 Can-Am RT Limited","Added May 2012 &bull; 6 fuel-ups Property of Olivier .","17.3"
"2011 Can-Am RT Limited","Added Jun 2012 Property of marynth70 .","N/A"
"2011 Can-Am RT Limited","Added Oct 2012 Property of Paladin00769 .","N/A"
"2011 Can-Am RT Limited","Added May 2011 &bull; 26 fuel-ups Property of troypowell .","12.2"
"2011 Can-Am RT Limited","Added Sep 2011 &bull; 10 fuel-ups Property of YumaJim .","11.8"
"2011 Can-Am RT Limited","Added May 2012 Property of autotechmark .","N/A"
"2012 Can-Am Spyder","Added Aug 2012 &bull; 8 fuel-ups Property of roselover58 .","12.9"
"2012 Can-Am Spyder","Added Jul 2012 &bull; 20 fuel-ups Property of markmarks .","12.0"
"2012 Can-Am Spyder","Added Jul 2012 &bull; 9 fuel-ups Property of thelehmans .","11.7"
"2011 Can-Am Spyder","Added Apr 2012 &bull; 36 fuel-ups Property of nhoj .","12.9"
"2011 Can-Am Spyder","Added Aug 2012 &bull; 2 fuel-ups Property of cafame .","11.8"
"2011 Can-Am Spyder","Added Apr 2012 &bull; 1 fuel-up Property of bullant12 .","N/A"
"2010 Can-Am Spyder","Added Apr 2011 &bull; 23 fuel-ups Property of briguy73 .","12.6"
"2010 Can-Am Spyder","Added Aug 2010 &bull; 102 fuel-ups Property of jomion .","13.1"
"2010 Can-Am Spyder","Added Feb 2010 &bull; 153 fuel-ups Property of Babymoose .","11.7"
"2010 Can-Am Spyder","Added Apr 2011 &bull; 85 fuel-ups Property of jtf63 .","14.0"
"2010 Can-Am Spyder","Added May 2010 &bull; 93 fuel-ups Property of VaughnCat .","11.5"
"2010 Can-Am Spyder","Added Apr 2010 &bull; 229 fuel-ups Property of VaughnCat .","12.3"
"2010 Can-Am Spyder","Added Apr 2010 &bull; 84 fuel-ups Property of strats .","12.6"
"2010 Can-Am Spyder","Added May 2010 &bull; 187 fuel-ups Property of wa3wheels .","12.4"
"2010 Can-Am Spyder","Added Jan 2010 &bull; 84 fuel-ups Property of manoman14 .","12.6"
"2010 Can-Am Spyder","Added Jul 2010 &bull; 168 fuel-ups Property of curly .","11.3"
"2010 Can-Am Spyder","Added Mar 2011 &bull; 22 fuel-ups Property of PyderRider .","12.2"
"2010 Can-Am Spyder","Added Feb 2010 &bull; 16 fuel-ups Property of superseahawk.","11.4"
"2010 Can-Am Spyder","Added May 2012 Property of NickOfiesh .","N/A"
"2010 Can-Am Spyder","Added Mar 2010 Property of Scudrunner.","N/A"
"2009 Can-Am Spyder","Added Oct 2011 &bull; 23 fuel-ups Property of Yeochief .","11.6"
"2009 Can-Am Spyder","Added Apr 2012 &bull; 25 fuel-ups Property of deepaks .","13.6"
"2009 Can-Am Spyder","Added Aug 2011 &bull; 77 fuel-ups Property of stutzmason .","11.4"
"2009 Can-Am Spyder","Added Feb 2011 &bull; 105 fuel-ups Property of mrorange .","11.6"
"2009 Can-Am Spyder","Added Jul 2012 &bull; 42 fuel-ups Property of roselover58 .","13.0"
"2009 Can-Am Spyder","Added Jul 2010 &bull; 133 fuel-ups Property of knifeguy .","11.6"
"2009 Can-Am Spyder","Added May 2010 &bull; 17 fuel-ups Property of BlingBling .","12.8"
"2009 Can-Am Spyder","Added Jul 2010 &bull; 90 fuel-ups Property of elevenwheels .","12.6"
"2009 Can-Am Spyder","Added Nov 2010 &bull; 24 fuel-ups Property of jtf63 .","14.5"
"2009 Can-Am Spyder","Added Aug 2009 &bull; 12 fuel-ups Property of etrike .","12.6"
"2009 Can-Am Spyder","Added Jun 2009 &bull; 35 fuel-ups Property of LoneWolf .","15.6"
"2009 Can-Am Spyder","Added Nov 2011 Property of badstorm .","N/A"
"2009 Can-Am Spyder","Added May 2012 Property of KelvinKhoo .","N/A"
"2009 Can-Am Spyder","Added Nov 2010 Property of route74 .","N/A"
"2009 Can-Am Spyder","Added Jul 2009 &bull; 309 fuel-ups Property of waynesworld .","13.6"
"2009 Can-Am Spyder","Added Apr 2012 &bull; 36 fuel-ups Property of bugerra .","12.9"
"2009 Can-Am Spyder","Added Apr 2012 &bull; 4 fuel-ups Property of ZG1400A9F .","12.6"
"2009 Can-Am Spyder","Added Oct 2010 &bull; 6 fuel-ups Property of Nofuelin .","15.7"
"2009 Can-Am Spyder","Added Jun 2011 &bull; 8 fuel-ups Property of vlwtwo .","15.4"
"2009 Can-Am Spyder","Added Jul 2010 &bull; 40 fuel-ups Property of gpthree .","11.2"
"2009 Can-Am Spyder","Added Sep 2009 &bull; 2 fuel-ups Property of davidrtownsend .","3.5"
"2009 Can-Am Spyder","Added Aug 2009 &bull; 12 fuel-ups Property of Miskolci .","11.4"
"2009 Can-Am Spyder","Added Nov 2009 &bull; 1 fuel-up Property of kravnh.","9.8"
"2009 Can-Am Spyder","Added Jun 2009 &bull; 80 fuel-ups Property of wgargan .","14.9"
"2009 Can-Am Spyder","Added Feb 2010 &bull; 9 fuel-ups Property of leo76dragon .","11.1"
"2009 Can-Am Spyder","Added Oct 2009 &bull; 11 fuel-ups Property of zavalza.","11.9"
"2009 Can-Am Spyder","Added Jul 2009 &bull; 24 fuel-ups Property of TrojanMan .","12.4"
"2009 Can-Am Spyder","Added Nov 2009 &bull; 1 fuel-up Property of kravnh.","N/A"
"2009 Can-Am Spyder","Added Aug 2009 &bull; 14 fuel-ups Property of superseahawk.","11.7"
"2009 Can-Am Spyder","Added Jun 2009 &bull; 3 fuel-ups Property of mpatricksp.","13.1"
"2009 Can-Am Spyder","Added Jul 2011 Property of ForPitsSake .","N/A"
"2009 Can-Am Spyder","Added Aug 2009 Property of JohnE.","N/A"
"2009 Can-Am Spyder","Added Jun 2011 Property of oceanbreeze851 .","N/A"
"2009 Can-Am Spyder","Added Mar 2010 Property of wkheathjr .","N/A"
"2009 Can-Am Spyder","Added Jul 2009 Property of alleycat.","N/A"
"2009 Can-Am Spyder","Added May 2012 Property of dannymax .","N/A"
"2008 Can-Am Spyder","Added Aug 2009 &bull; 173 fuel-ups Property of SpyderGirl .","13.3"
"2008 Can-Am Spyder","Added Aug 2011 &bull; 48 fuel-ups Property of Just4Fun .","12.4"
"2008 Can-Am Spyder","Added Jan 2011 &bull; 403 fuel-ups Property of rdkil1 .","12.6"
"2008 Can-Am Spyder","Added May 2010 &bull; 20 fuel-ups Property of Silverwolf .","11.8"
"2008 Can-Am Spyder","Added Jun 2009 &bull; 89 fuel-ups Property of Seattle .","12.1"
"2008 Can-Am Spyder","Added Nov 2011 &bull; 41 fuel-ups Property of BobJ21 .","14.7"
"2008 Can-Am Spyder","Added Apr 2011 &bull; 49 fuel-ups Property of wrhemp .","13.0"
"2008 Can-Am Spyder","Added Aug 2009 &bull; 152 fuel-ups Property of Babymoose .","14.3"
"2008 Can-Am Spyder","Added Sep 2009 &bull; 106 fuel-ups Property of truck85 .","12.0"
"2008 Can-Am Spyder","Added Aug 2010 &bull; 17 fuel-ups Property of Tortellini .","13.0"
"2008 Can-Am Spyder","Added Mar 2012 &bull; 42 fuel-ups Property of LandoCALRISSIAN .","15.8"
"2008 Can-Am Spyder","Added Jun 2011 &bull; 11 fuel-ups Property of jayallday01 .","12.9"
"2008 Can-Am Spyder","Added Jul 2010 &bull; 57 fuel-ups Property of babeshorty .","14.4"
"2008 Can-Am Spyder","Added Jan 2010 &bull; 20 fuel-ups Property of mhennessy .","12.1"
"2008 Can-Am Spyder","Added Jul 2009 &bull; 1 fuel-up Property of Spyderman55 .","12.7"
"2008 Can-Am Spyder","Added May 2010 &bull; 2 fuel-ups Property of leoejr .","12.9"
"2008 Can-Am Spyder","Added Aug 2009 &bull; 8 fuel-ups Property of QuadManiac.","11.7"
"2008 Can-Am Spyder","Added Jun 2009 &bull; 22 fuel-ups Property of Brevet05 .","13.3"
"2008 Can-Am Spyder","Added Aug 2009 &bull; 14 fuel-ups Property of MizMuffet.","13.8"
"2008 Can-Am Spyder","Added Jul 2009 &bull; 2 fuel-ups Property of gvmack.","18.8"
"2008 Can-Am Spyder","Added Jun 2009 &bull; 34 fuel-ups Property of ElkSpyder .","14.4"
"2008 Can-Am Spyder","Added Jun 2009 &bull; 2 fuel-ups Property of spyderjockey.","14.4"
"2008 Can-Am Spyder","Added Mar 2012 Property of 3Tracs .","N/A"
"2008 Can-Am Spyder","Added Jul 2011 Property of TKTGETR .","N/A"
"2008 Can-Am Spyder","Added May 2012 &bull; 5 fuel-ups Property of boomerkc .","10.7"
"2008 Can-Am Spyder","Added Oct 2011 &bull; 55 fuel-ups Property of noboot .","14.6"
"2008 Can-Am Spyder","Added Mar 2012 &bull; 53 fuel-ups Property of ypilot .","0.6"
"2008 Can-Am Spyder","Added Jun 2009 &bull; 305 fuel-ups Property of medeff .","12.5"
"2008 Can-Am Spyder","Added Apr 2012 &bull; 7 fuel-ups Property of Bytemi .","13.1"
"2008 Can-Am Spyder","Added Jul 2010 &bull; 23 fuel-ups Property of blong77435 .","13.1"
"2008 Can-Am Spyder","Added Aug 2009 &bull; 73 fuel-ups Property of dltang.","12.4"
"2008 Can-Am Spyder","Added Sep 2009 &bull; 6 fuel-ups Property of molypoly.","10.8"
"2008 Can-Am Spyder","Added Apr 2010 &bull; 1 fuel-up Property of spyder2683 .","N/A"
"2008 Can-Am Spyder","Added Jul 2009 &bull; 33 fuel-ups Property of rleathen .","12.3"
"2008 Can-Am Spyder","Added Dec 2009 &bull; 1 fuel-up Property of uwe999.","11.4"
"2008 Can-Am Spyder","Added Sep 2009 &bull; 7 fuel-ups Property of ctabor.","14.3"
"2008 Can-Am Spyder","Added Sep 2009 &bull; 6 fuel-ups Property of ctabor.","13.1"
"2008 Can-Am Spyder","Added Sep 2009 &bull; 2 fuel-ups Property of 7spyder .","9.4"
"2008 Can-Am Spyder","Added Aug 2009 &bull; 1 fuel-up Property of spyderguy .","N/A"
"2008 Can-Am Spyder","Added Jul 2009 &bull; 10 fuel-ups Property of musicarcade.","11.5"
"2008 Can-Am Spyder","Added Jul 2009 &bull; 1 fuel-up Property of spyderman.","N/A"
"2008 Can-Am Spyder","Added Jun 2009 &bull; 1 fuel-up Property of spyder2094.","102.0"
"2008 Can-Am Spyder","Added Apr 2010 Property of spyder2683 .","N/A"
"2008 Can-Am Spyder","Added May 2012 Property of lflaxman .","N/A"
"2008 Can-Am Spyder","Added Jul 2011 Property of SpyderRyder .","N/A"
"2008 Can-Am Spyder","Added Oct 2009 Property of SpydrRydr.","N/A"
"2008 Can-Am Spyder","Added May 2011 Property of Mayhem .","N/A"
"2008 Can-Am Spyder","Added Sep 2009 Property of bc .","N/A"
"2008 Can-Am Spyder","Added Jun 2009 Property of willpower25.","N/A"
"2008 Can-Am Spyder","Added Sep 2009 Property of fujigirl .","N/A"
"2008 Can-Am Spyder","Added Sep 2010 Property of ryoung88 .","N/A"
"2008 Can-Am Spyder","Added Sep 2009 Property of madjack .","N/A"
"2008 Can-Am Spyder","Added Sep 2011 Property of tinman01 .","N/A"
"2008 Can-Am Spyder","Added Sep 2009 Property of kentompkins.","N/A"
"2012 Can-Am Spyder RS","Added Aug 2012 &bull; 10 fuel-ups Property of Macksun .","11.9"
"2012 Can-Am Spyder RS","Added Sep 2012 Property of fester001 .","N/A"
"2012 Can-Am Spyder RS","Added Aug 2012 &bull; 4 fuel-ups Property of RPryor .","80.6"
"2012 Can-Am Spyder RS","Added Sep 2012 Property of danlnc .","N/A"
"2011 Can-Am Spyder RS","Added Oct 2012 Property of babeshorty .","N/A"
"2008 Can-Am Spyder RS","Added Sep 2012 &bull; 7 fuel-ups Property of truck85 .","12.5"
"2012 Can-Am Spyder RT-S","Added Oct 2012 &bull; 3 fuel-ups Property of vicw1025 .","10.3"
"2012 Can-Am Spyder RT-S","Added Oct 2012 &bull; 8 fuel-ups Property of PhxyiusSpyder .","12.0"
"2012 Can-Am Spyder RT-S","Added May 2012 &bull; 35 fuel-ups Property of Knarfoh .","12.8"
"2012 Can-Am Spyder RT-S","Added Sep 2012 &bull; 13 fuel-ups Property of firebike .","12.7"
"2012 Can-Am Spyder RT-S","Added Dec 2011 &bull; 110 fuel-ups Property of naillz .","12.6"
"2012 Can-Am Spyder RT-S","Added Aug 2012 &bull; 15 fuel-ups Property of stinger .","11.9"
"2012 Can-Am Spyder RT-S","Added Aug 2012 Property of dikicep9 .","N/A"
"2012 Can-Am Spyder RT-S","Added Aug 2012 Property of brewcrew .","N/A"
"2011 Can-Am Spyder RT-S","Added Sep 2011 &bull; 151 fuel-ups Property of elevenwheels .","12.3"
"2011 Can-Am Spyder RT-S","Added Oct 2011 &bull; 126 fuel-ups Property of dgames .","10.4"
"2011 Can-Am Spyder RT-S","Added Aug 2011 &bull; 81 fuel-ups Property of SpydherLuv .","11.5"
"2011 Can-Am Spyder RT-S","Added Apr 2012 &bull; 18 fuel-ups Property of Bulldawg67 .","12.8"
"2011 Can-Am Spyder RT-S","Added Aug 2012 &bull; 47 fuel-ups Property of surgonamishr .","12.1"
"2011 Can-Am Spyder RT-S","Added Oct 2012 &bull; 1 fuel-up Property of Snoopy1266 .","10.7"
"2011 Can-Am Spyder RT-S","Added Jul 2011 &bull; 41 fuel-ups Property of Karamaus .","10.7"
"2011 Can-Am Spyder RT-S","Added Oct 2012 &bull; 5 fuel-ups Property of gortwol .","12.7"
"2011 Can-Am Spyder RT-S","Added Jun 2011 &bull; 10 fuel-ups Property of spydercouple .","11.6"
"2011 Can-Am Spyder RT-S","Added May 2012 Property of floorboards2010 .","N/A"
"2011 Can-Am Spyder RT-S","Added Jul 2012 Property of grumblesrds .","N/A"
"2011 Can-Am Spyder RT-S","Added Mar 2012 Property of wh01sjongalt .","N/A"
"2011 Can-Am Spyder RT-S","Added Sep 2011 Property of GASpyderLady .","N/A"
"2011 Can-Am Spyder RT-S","Added Jun 2011 Property of RetiredCGRider .","N/A"
"2011 Can-Am Spyder RT-S","Added Aug 2011 Property of douglongo .","N/A"
"2010 Can-Am Spyder RT-S","Added Jan 2011 &bull; 51 fuel-ups Property of mishapman .","11.3"
"2010 Can-Am Spyder RT-S","Added Jun 2010 &bull; 129 fuel-ups Property of oew .","13.6"
"2010 Can-Am Spyder RT-S","Added Mar 2011 &bull; 43 fuel-ups Property of willteix .","11.7"
"2010 Can-Am Spyder RT-S","Added Nov 2010 &bull; 34 fuel-ups Property of N1chef .","13.1"
"2010 Can-Am Spyder RT-S","Added Jun 2012 &bull; 71 fuel-ups Property of HntngTrout .","12.1"
"2010 Can-Am Spyder RT-S","Added Jun 2012 &bull; 4 fuel-ups Property of SgtGriff .","12.2"
"2010 Can-Am Spyder RT-S","Added Aug 2011 &bull; 18 fuel-ups Property of ChickenSpyder .","13.3"
"2010 Can-Am Spyder RT-S","Added Sep 2010 &bull; 20 fuel-ups Property of kgehrke .","13.6"
"2010 Can-Am Spyder RT-S","Added Nov 2011 Property of welshie .","N/A"
"2009 CCM SM125","Added Jun 2011 &bull; 10 fuel-ups Property of adjamainstone .","28.1"
"2009 CFMOTO E Charm","Added Oct 2012 &bull; 4 fuel-ups Property of asowray .","31.5"
"2009 CFMOTO E Charm","Added Apr 2011 &bull; 2 fuel-ups Property of bjr9979 .","33.3"
"2009 CFMOTO Glory","Added Mar 2011 &bull; 11 fuel-ups Property of panaja .","29.0"
"2012 CFMOTO JetMax 250","Added Jun 2012 &bull; 25 fuel-ups Property of camaroz .","25.4"
"2009 Chopper Nation skywave","Added Oct 2012 &bull; 4 fuel-ups Property of haniya .","10872.3"
"2012 Cleveland CycleWerks Tha Heist","Added Sep 2012 &bull; 13 fuel-ups Property of n3cr0 .","41.3"
"1999 Confederate American GT","Added Jan 2011 &bull; 11 fuel-ups Property of JohnPT .","20.7"
