Year,Make,Model,fuelups,user,KML,MPG,LP100KM,CC,Style,url
1989,Honda,PC800 Pacific Coast,58,grammasserb,18.7,44.0,5.35,800,,http://www.fuelly.com/driver/grammasserb/
1989,Honda,PC800 Pacific Coast,3,ride4ron,19.3,45.4,5.18,800,,http://www.fuelly.com/driver/ride4ron/
1989,Honda,PC800 Pacific Coast,33,DOB012,19.6,46.1,5.10,800,,http://www.fuelly.com/driver/DOB012/
1990,Honda,PC800 Pacific Coast,31,bobfromacworth,19.8,46.6,5.05,800,,http://www.fuelly.com/driver/bobfromacworth/
1989,Honda,PC800 Pacific Coast,8,vtwinn,20,47.0,5.00,800,,http://www.fuelly.com/driver/vtwinn/
1990,Honda,PC800 Pacific Coast,236,dehiett62,20.7,48.7,4.83,800,,http://www.fuelly.com/driver/dehiett62/
1996,Honda,PC800 Pacific Coast,57,kperham,21.2,49.9,4.72,800,,http://www.fuelly.com/driver/kperham/
1989,Honda,PC800 Pacific Coast,3,triangles,21.5,50.6,4.65,800,,http://www.fuelly.com/driver/triangles/
1994,Honda,PC800 Pacific Coast,137,sdownichols,21.6,50.8,4.63,800,,http://www.fuelly.com/driver/sdownichols/
1990,Honda,PC800 Pacific Coast,10,Bikeaholic,21.7,51.0,4.61,800,,http://www.fuelly.com/driver/Bikeaholic/
2010,Honda,PCX,1,asmona,11.3,26.6,8.85,,,http://www.fuelly.com/driver/asmona/
2011,Honda,PCX,2,hlw,14,32.9,7.14,,,http://www.fuelly.com/driver/hlw/
2011,Honda,PCX,1,durexity,23,54.1,4.35,,,http://www.fuelly.com/driver/durexity/
2011,Honda,PCX,16,blackandgoldnut,23.1,54.3,4.33,,,http://www.fuelly.com/driver/blackandgoldnut/
2010,Honda,PCX,10,PCXTOM,27.7,65.2,3.61,,,http://www.fuelly.com/driver/PCXTOM/
2011,Honda,PCX,3,R1ngsting,30.3,71.3,3.30,,,http://www.fuelly.com/driver/R1ngsting/
2011,Honda,PCX,4,grpcook,31,72.9,3.23,,,http://www.fuelly.com/driver/grpcook/
2010,Honda,PCX,35,dimitrisbar,31.3,73.6,3.19,,,http://www.fuelly.com/driver/dimitrisbar/
2011,Honda,PCX,1,mac65,31.5,74.1,3.17,,,http://www.fuelly.com/driver/mac65/
2011,Honda,PCX,29,jspahn,31.9,75.0,3.13,,,http://www.fuelly.com/driver/jspahn/
2011,Honda,PCX,3,vanbibj,31.9,75.0,3.13,,,http://www.fuelly.com/driver/vanbibj/
2011,Honda,PCX,1,MpenaS,32.3,76.0,3.10,,,http://www.fuelly.com/driver/MpenaS/
2011,Honda,PCX,18,TheBujun,32.7,76.9,3.06,,,http://www.fuelly.com/driver/TheBujun/
2011,Honda,PCX,73,astaffer,32.7,76.9,3.06,,,http://www.fuelly.com/driver/astaffer/
2012,Honda,PCX,1,PoCoX,32.9,77.4,3.04,,,http://www.fuelly.com/driver/PoCoX/
2012,Honda,PCX,2,jasperthehorse,33.2,78.1,3.01,,,http://www.fuelly.com/driver/jasperthehorse/
2011,Honda,PCX,21,tsims10s,33.4,78.6,2.99,,,http://www.fuelly.com/driver/tsims10s/
2011,Honda,PCX,35,goulasc,33.4,78.6,2.99,,,http://www.fuelly.com/driver/goulasc/
2011,Honda,PCX,15,shivayash,33.5,78.8,2.99,,,http://www.fuelly.com/driver/shivayash/
2011,Honda,PCX,67,teamtd11,33.6,79.0,2.98,,,http://www.fuelly.com/driver/teamtd11/
2010,Honda,PCX,1,kamikazepcx,33.6,79.0,2.98,,,http://www.fuelly.com/driver/kamikazepcx/
2012,Honda,PCX,28,zupytupy,33.7,79.3,2.97,,,http://www.fuelly.com/driver/zupytupy/
2011,Honda,PCX,2,Pilkeith,33.8,79.5,2.96,,,http://www.fuelly.com/driver/Pilkeith/
2012,Honda,PCX,3,ewganhoff,33.9,79.7,2.95,,,http://www.fuelly.com/driver/ewganhoff/
2011,Honda,PCX,4,xphacter,33.9,79.7,2.95,,,http://www.fuelly.com/driver/xphacter/
2011,Honda,PCX,43,scad11,34.1,80.2,2.93,,,http://www.fuelly.com/driver/scad11/
2011,Honda,PCX,14,wizardflake,34.1,80.2,2.93,,,http://www.fuelly.com/driver/wizardflake/
2010,Honda,PCX,36,gn2,34.1,80.2,2.93,,,http://www.fuelly.com/driver/gn2/
2010,Honda,PCX,28,stevescot,34.2,80.4,2.92,,,http://www.fuelly.com/driver/stevescot/
2011,Honda,PCX,22,marcdman4000,34.3,80.7,2.92,,,http://www.fuelly.com/driver/marcdman4000/
2012,Honda,PCX,7,king71,34.8,81.9,2.87,,,http://www.fuelly.com/driver/king71/
2011,Honda,PCX,21,Miguex79,34.8,81.9,2.87,,,http://www.fuelly.com/driver/Miguex79/
2012,Honda,PCX,2,luispedro65,34.9,82.1,2.87,,,http://www.fuelly.com/driver/luispedro65/
2012,Honda,PCX,2,GivenToFly,35,82.3,2.86,,,http://www.fuelly.com/driver/GivenToFly/
2011,Honda,PCX,17,newpl,35,82.3,2.86,,,http://www.fuelly.com/driver/newpl/
2011,Honda,PCX,52,kalai1622,35,82.3,2.86,,,http://www.fuelly.com/driver/kalai1622/
2012,Honda,PCX,42,joaoremedios,35.3,83.0,2.83,,,http://www.fuelly.com/driver/joaoremedios/
2012,Honda,PCX,14,Firepriest,35.4,83.3,2.82,,,http://www.fuelly.com/driver/Firepriest/
2011,Honda,PCX,4,londonpcx,35.5,83.5,2.82,,,http://www.fuelly.com/driver/londonpcx/
2011,Honda,PCX,34,uzouba,35.6,83.7,2.81,,,http://www.fuelly.com/driver/uzouba/
2011,Honda,PCX,14,Wilfy,35.7,84.0,2.80,,,http://www.fuelly.com/driver/Wilfy/
2011,Honda,PCX,29,evva,35.7,84.0,2.80,,,http://www.fuelly.com/driver/evva/
2012,Honda,PCX,2,DavePT,35.8,84.2,2.79,,,http://www.fuelly.com/driver/DavePT/
2010,Honda,PCX,15,mastertheknife,35.8,84.2,2.79,,,http://www.fuelly.com/driver/mastertheknife/
2012,Honda,PCX,7,xflood,36,84.7,2.78,,,http://www.fuelly.com/driver/xflood/
2011,Honda,PCX,9,jotace78,36,84.7,2.78,,,http://www.fuelly.com/driver/jotace78/
2011,Honda,PCX,19,Woolley,36,84.7,2.78,,,http://www.fuelly.com/driver/Woolley/
2012,Honda,PCX,3,WozzaPCX,36.1,84.9,2.77,,,http://www.fuelly.com/driver/WozzaPCX/
2011,Honda,PCX,6,nemebean,36.1,84.9,2.77,,,http://www.fuelly.com/driver/nemebean/
2011,Honda,PCX,6,Joshawa,36.2,85.1,2.76,,,http://www.fuelly.com/driver/Joshawa/
2011,Honda,PCX,7,Cuckoldwimp,36.2,85.1,2.76,,,http://www.fuelly.com/driver/Cuckoldwimp/
2012,Honda,PCX,1,neckard,36.3,85.4,2.75,,,http://www.fuelly.com/driver/neckard/
2011,Honda,PCX,26,palebeachbum,36.3,85.4,2.75,,,http://www.fuelly.com/driver/palebeachbum/
2011,Honda,PCX,37,aaroncroydon,36.3,85.4,2.75,,,http://www.fuelly.com/driver/aaroncroydon/
2011,Honda,PCX,68,ese12105,36.3,85.4,2.75,,,http://www.fuelly.com/driver/ese12105/
2012,Honda,PCX,2,bcorsino,36.4,85.6,2.75,,,http://www.fuelly.com/driver/bcorsino/
2011,Honda,PCX,3,mob,36.4,85.6,2.75,,,http://www.fuelly.com/driver/mob/
2010,Honda,PCX,1,vamvax,36.5,85.9,2.74,,,http://www.fuelly.com/driver/vamvax/
2011,Honda,PCX,20,Esdain1,36.7,86.3,2.72,,,http://www.fuelly.com/driver/Esdain1/
2011,Honda,PCX,30,m15rpd,36.8,86.6,2.72,,,http://www.fuelly.com/driver/m15rpd/
2012,Honda,PCX,18,sm4rty,36.9,86.8,2.71,,,http://www.fuelly.com/driver/sm4rty/
2012,Honda,PCX,6,hondapcxuk,36.9,86.8,2.71,,,http://www.fuelly.com/driver/hondapcxuk/
2011,Honda,PCX,4,jimis86,37,87.0,2.70,,,http://www.fuelly.com/driver/jimis86/
2010,Honda,PCX,12,Pram,37,87.0,2.70,,,http://www.fuelly.com/driver/Pram/
2012,Honda,PCX,8,sebdangerfield,37.1,87.3,2.70,,,http://www.fuelly.com/driver/sebdangerfield/
2011,Honda,PCX,10,2Wheelz,37.1,87.3,2.70,,,http://www.fuelly.com/driver/2Wheelz/
2011,Honda,PCX,19,andre86,37.1,87.3,2.70,,,http://www.fuelly.com/driver/andre86/
2012,Honda,PCX,14,minimad,37.2,87.5,2.69,,,http://www.fuelly.com/driver/minimad/
2011,Honda,PCX,7,chris6210,37.2,87.5,2.69,,,http://www.fuelly.com/driver/chris6210/
2011,Honda,PCX,1,a12,37.2,87.5,2.69,,,http://www.fuelly.com/driver/a12/
2012,Honda,PCX,28,Pony,37.5,88.2,2.67,,,http://www.fuelly.com/driver/Pony/
2011,Honda,PCX,5,sud,37.5,88.2,2.67,,,http://www.fuelly.com/driver/sud/
2011,Honda,PCX,26,khenti,37.6,88.4,2.66,,,http://www.fuelly.com/driver/khenti/
2011,Honda,PCX,18,motardabordo,37.6,88.4,2.66,,,http://www.fuelly.com/driver/motardabordo/
2011,Honda,PCX,5,acharnley,37.7,88.7,2.65,,,http://www.fuelly.com/driver/acharnley/
2010,Honda,PCX,25,LeoViotti,37.7,88.7,2.65,,,http://www.fuelly.com/driver/LeoViotti/
2012,Honda,PCX,39,tonicentrino,37.8,88.9,2.65,,,http://www.fuelly.com/driver/tonicentrino/
2012,Honda,PCX,39,chaciak,37.8,88.9,2.65,,,http://www.fuelly.com/driver/chaciak/
2011,Honda,PCX,32,KVA16,37.8,88.9,2.65,,,http://www.fuelly.com/driver/KVA16/
2012,Honda,PCX,4,cgracio,37.9,89.1,2.64,,,http://www.fuelly.com/driver/cgracio/
2012,Honda,PCX,22,lmpintof1,37.9,89.1,2.64,,,http://www.fuelly.com/driver/lmpintof1/
2011,Honda,PCX,34,beach,37.9,89.1,2.64,,,http://www.fuelly.com/driver/beach/
2012,Honda,PCX,16,millsy59,38,89.4,2.63,,,http://www.fuelly.com/driver/millsy59/
2011,Honda,PCX,10,b0r3dguy,38,89.4,2.63,,,http://www.fuelly.com/driver/b0r3dguy/
2011,Honda,PCX,23,alibally,38,89.4,2.63,,,http://www.fuelly.com/driver/alibally/
2011,Honda,PCX,14,TC3,38,89.4,2.63,,,http://www.fuelly.com/driver/TC3/
2011,Honda,PCX,25,jenniebox,38,89.4,2.63,,,http://www.fuelly.com/driver/jenniebox/
2010,Honda,PCX,53,t2bitha,38.1,89.6,2.62,,,http://www.fuelly.com/driver/t2bitha/
2012,Honda,PCX,9,lmtrigo,38.2,89.9,2.62,,,http://www.fuelly.com/driver/lmtrigo/
2011,Honda,PCX,13,Memoark,38.2,89.9,2.62,,,http://www.fuelly.com/driver/Memoark/
2011,Honda,PCX,16,avrian,38.3,90.1,2.61,,,http://www.fuelly.com/driver/avrian/
2011,Honda,PCX,34,sponsonbox,38.3,90.1,2.61,,,http://www.fuelly.com/driver/sponsonbox/
2011,Honda,PCX,3,TechFrog,38.3,90.1,2.61,,,http://www.fuelly.com/driver/TechFrog/
2011,Honda,PCX,7,RichDesmond,38.3,90.1,2.61,,,http://www.fuelly.com/driver/RichDesmond/
2011,Honda,PCX,5,xBigRedx,38.4,90.3,2.60,,,http://www.fuelly.com/driver/xBigRedx/
2012,Honda,PCX,3,EvilRacer329,38.5,90.6,2.60,,,http://www.fuelly.com/driver/EvilRacer329/
2011,Honda,PCX,21,fio87,38.5,90.6,2.60,,,http://www.fuelly.com/driver/fio87/
2010,Honda,PCX,7,Mendes,38.5,90.6,2.60,,,http://www.fuelly.com/driver/Mendes/
2012,Honda,PCX,6,Barljo,38.6,90.8,2.59,,,http://www.fuelly.com/driver/Barljo/
2012,Honda,PCX,1,laticfanatic,38.6,90.8,2.59,,,http://www.fuelly.com/driver/laticfanatic/
2012,Honda,PCX,12,ntasaef4,38.8,91.3,2.58,,,http://www.fuelly.com/driver/ntasaef4/
2012,Honda,PCX,4,harcsafogo,38.8,91.3,2.58,,,http://www.fuelly.com/driver/harcsafogo/
2012,Honda,PCX,8,jimchoise,38.8,91.3,2.58,,,http://www.fuelly.com/driver/jimchoise/
2011,Honda,PCX,36,vits,38.8,91.3,2.58,,,http://www.fuelly.com/driver/vits/
2011,Honda,PCX,25,koti,38.8,91.3,2.58,,,http://www.fuelly.com/driver/koti/
2010,Honda,PCX,4,mickmick,38.8,91.3,2.58,,,http://www.fuelly.com/driver/mickmick/
2011,Honda,PCX,74,koukou,38.9,91.5,2.57,,,http://www.fuelly.com/driver/koukou/
2011,Honda,PCX,7,Bornscottish,38.9,91.5,2.57,,,http://www.fuelly.com/driver/Bornscottish/
2011,Honda,PCX,4,PCXUK,38.9,91.5,2.57,,,http://www.fuelly.com/driver/PCXUK/
2011,Honda,PCX,5,clideno,38.9,91.5,2.57,,,http://www.fuelly.com/driver/clideno/
2011,Honda,PCX,10,fuelmeiser,38.9,91.5,2.57,,,http://www.fuelly.com/driver/fuelmeiser/
2012,Honda,PCX,18,tekir,39,91.7,2.56,,,http://www.fuelly.com/driver/tekir/
2011,Honda,PCX,20,PeteCX,39,91.7,2.56,,,http://www.fuelly.com/driver/PeteCX/
2011,Honda,PCX,1,sud,39,91.7,2.56,,,http://www.fuelly.com/driver/sud/
2011,Honda,PCX,21,bsmulders,39.1,92.0,2.56,,,http://www.fuelly.com/driver/bsmulders/
2011,Honda,PCX,9,felgas,39.1,92.0,2.56,,,http://www.fuelly.com/driver/felgas/
2011,Honda,PCX,41,jprestonian,39.3,92.4,2.54,,,http://www.fuelly.com/driver/jprestonian/
2012,Honda,PCX,1,rhinox,39.4,92.7,2.54,,,http://www.fuelly.com/driver/rhinox/
2011,Honda,PCX,10,Tadd,39.4,92.7,2.54,,,http://www.fuelly.com/driver/Tadd/
2011,Honda,PCX,5,DonkeyBeliever,39.4,92.7,2.54,,,http://www.fuelly.com/driver/DonkeyBeliever/
2011,Honda,PCX,13,alpsahinoglu,39.4,92.7,2.54,,,http://www.fuelly.com/driver/alpsahinoglu/
2011,Honda,PCX,4,redpcx,39.5,92.9,2.53,,,http://www.fuelly.com/driver/redpcx/
2010,Honda,PCX,50,rulisangel,39.5,92.9,2.53,,,http://www.fuelly.com/driver/rulisangel/
2010,Honda,PCX,14,smithy10292,39.5,92.9,2.53,,,http://www.fuelly.com/driver/smithy10292/
2012,Honda,PCX,2,janwer,39.6,93.1,2.53,,,http://www.fuelly.com/driver/janwer/
2012,Honda,PCX,3,Dany81,39.6,93.1,2.53,,,http://www.fuelly.com/driver/Dany81/
2012,Honda,PCX,1,tziminhio,39.6,93.1,2.53,,,http://www.fuelly.com/driver/tziminhio/
2011,Honda,PCX,3,bajuja,39.8,93.6,2.51,,,http://www.fuelly.com/driver/bajuja/
2011,Honda,PCX,49,rocket,39.8,93.6,2.51,,,http://www.fuelly.com/driver/rocket/
2011,Honda,PCX,15,thepcxdude,39.8,93.6,2.51,,,http://www.fuelly.com/driver/thepcxdude/
2012,Honda,PCX,5,Cracksta,40,94.1,2.50,,,http://www.fuelly.com/driver/Cracksta/
2011,Honda,PCX,2,Orny1969,40,94.1,2.50,,,http://www.fuelly.com/driver/Orny1969/
2011,Honda,PCX,9,unwinder,40.1,94.3,2.49,,,http://www.fuelly.com/driver/unwinder/
2011,Honda,PCX,7,AJB,40.1,94.3,2.49,,,http://www.fuelly.com/driver/AJB/
2012,Honda,PCX,5,BelfastTrev,40.2,94.6,2.49,,,http://www.fuelly.com/driver/BelfastTrev/
2012,Honda,PCX,12,pedroascosta,40.3,94.8,2.48,,,http://www.fuelly.com/driver/pedroascosta/
2012,Honda,PCX,3,superdado91,40.3,94.8,2.48,,,http://www.fuelly.com/driver/superdado91/
2011,Honda,PCX,21,maddiedog,40.4,95.0,2.48,,,http://www.fuelly.com/driver/maddiedog/
2012,Honda,PCX,15,orkay,40.5,95.3,2.47,,,http://www.fuelly.com/driver/orkay/
2011,Honda,PCX,2,leepy,40.5,95.3,2.47,,,http://www.fuelly.com/driver/leepy/
2012,Honda,PCX,15,lactic,40.6,95.5,2.46,,,http://www.fuelly.com/driver/lactic/
2011,Honda,PCX,23,icklejohn,40.6,95.5,2.46,,,http://www.fuelly.com/driver/icklejohn/
2011,Honda,PCX,41,changesucks,40.6,95.5,2.46,,,http://www.fuelly.com/driver/changesucks/
2011,Honda,PCX,2,jrayner,40.6,95.5,2.46,,,http://www.fuelly.com/driver/jrayner/
2010,Honda,PCX,16,mcwolf,40.6,95.5,2.46,,,http://www.fuelly.com/driver/mcwolf/
2011,Honda,PCX,19,mpatsakos,40.7,95.7,2.46,,,http://www.fuelly.com/driver/mpatsakos/
2010,Honda,PCX,2,TW,40.7,95.7,2.46,,,http://www.fuelly.com/driver/TW/
2011,Honda,PCX,5,furstyferret81,40.8,96.0,2.45,,,http://www.fuelly.com/driver/furstyferret81/
2011,Honda,PCX,4,nikam,40.9,96.2,2.44,,,http://www.fuelly.com/driver/nikam/
2012,Honda,PCX,1,toninho,41,96.4,2.44,,,http://www.fuelly.com/driver/toninho/
2011,Honda,PCX,54,amikronis,41,96.4,2.44,,,http://www.fuelly.com/driver/amikronis/
2011,Honda,PCX,6,NICKALD,41,96.4,2.44,,,http://www.fuelly.com/driver/NICKALD/
2011,Honda,PCX,10,ramcho,41,96.4,2.44,,,http://www.fuelly.com/driver/ramcho/
2012,Honda,PCX,14,portuga,41.1,96.7,2.43,,,http://www.fuelly.com/driver/portuga/
2011,Honda,PCX,92,omega1987,41.1,96.7,2.43,,,http://www.fuelly.com/driver/omega1987/
2012,Honda,PCX,9,drrossi,41.2,96.9,2.43,,,http://www.fuelly.com/driver/drrossi/
2012,Honda,PCX,8,drrossi,41.2,96.9,2.43,,,http://www.fuelly.com/driver/drrossi/
2012,Honda,PCX,12,PmlslCX,41.2,96.9,2.43,,,http://www.fuelly.com/driver/PmlslCX/
2012,Honda,PCX,4,pnseixas,41.2,96.9,2.43,,,http://www.fuelly.com/driver/pnseixas/
2012,Honda,PCX,3,watsonpcx,41.2,96.9,2.43,,,http://www.fuelly.com/driver/watsonpcx/
2011,Honda,PCX,4,gbaladii,41.2,96.9,2.43,,,http://www.fuelly.com/driver/gbaladii/
2012,Honda,PCX,16,Narcustic,41.3,97.1,2.42,,,http://www.fuelly.com/driver/Narcustic/
2011,Honda,PCX,43,rolfw,41.4,97.4,2.42,,,http://www.fuelly.com/driver/rolfw/
2011,Honda,PCX,4,Ratty,41.5,97.6,2.41,,,http://www.fuelly.com/driver/Ratty/
2011,Honda,PCX,27,carlmt,41.6,97.9,2.40,,,http://www.fuelly.com/driver/carlmt/
2011,Honda,PCX,8,ghoschpl,41.6,97.9,2.40,,,http://www.fuelly.com/driver/ghoschpl/
2012,Honda,PCX,4,u5n36,41.7,98.1,2.40,,,http://www.fuelly.com/driver/u5n36/
2011,Honda,PCX,49,Tekmaniac,41.7,98.1,2.40,,,http://www.fuelly.com/driver/Tekmaniac/
2011,Honda,PCX,6,Tonypcx,41.7,98.1,2.40,,,http://www.fuelly.com/driver/Tonypcx/
2011,Honda,PCX,48,medvegyev,41.8,98.3,2.39,,,http://www.fuelly.com/driver/medvegyev/
2011,Honda,PCX,1,Nightster,41.8,98.3,2.39,,,http://www.fuelly.com/driver/Nightster/
2012,Honda,PCX,22,Pluzbrut,41.9,98.6,2.39,,,http://www.fuelly.com/driver/Pluzbrut/
2011,Honda,PCX,4,fnunes,41.9,98.6,2.39,,,http://www.fuelly.com/driver/fnunes/
2011,Honda,PCX,24,scottymoon,42,98.8,2.38,,,http://www.fuelly.com/driver/scottymoon/
2011,Honda,PCX,29,spyrakos77,42,98.8,2.38,,,http://www.fuelly.com/driver/spyrakos77/
2011,Honda,PCX,16,tsilidis,42.1,99.0,2.38,,,http://www.fuelly.com/driver/tsilidis/
2011,Honda,PCX,1,ryn0tech,42.1,99.0,2.38,,,http://www.fuelly.com/driver/ryn0tech/
2012,Honda,PCX,15,PeeCeeXee,42.2,99.3,2.37,,,http://www.fuelly.com/driver/PeeCeeXee/
2011,Honda,PCX,29,Maviwolf,42.2,99.3,2.37,,,http://www.fuelly.com/driver/Maviwolf/
2012,Honda,PCX,9,srpatrao,42.3,99.5,2.36,,,http://www.fuelly.com/driver/srpatrao/
2011,Honda,PCX,28,oldcodgeman,42.3,99.5,2.36,,,http://www.fuelly.com/driver/oldcodgeman/
2011,Honda,PCX,16,ejust,42.4,99.7,2.36,,,http://www.fuelly.com/driver/ejust/
2012,Honda,PCX,22,ericpcx,42.5,100.0,2.35,,,http://www.fuelly.com/driver/ericpcx/
2011,Honda,PCX,3,rcfaro,42.5,100.0,2.35,,,http://www.fuelly.com/driver/rcfaro/
2012,Honda,PCX,2,aikanaro79,42.6,100.2,2.35,,,http://www.fuelly.com/driver/aikanaro79/
2011,Honda,PCX,36,jfr,42.6,100.2,2.35,,,http://www.fuelly.com/driver/jfr/
2012,Honda,PCX,3,Diacus,42.7,100.4,2.34,,,http://www.fuelly.com/driver/Diacus/
2011,Honda,PCX,30,DBarbeiro,42.7,100.4,2.34,,,http://www.fuelly.com/driver/DBarbeiro/
2011,Honda,PCX,41,pozo,42.9,100.9,2.33,,,http://www.fuelly.com/driver/pozo/
2010,Honda,PCX,17,Helghan,42.9,100.9,2.33,,,http://www.fuelly.com/driver/Helghan/
2012,Honda,PCX,14,tritolosiciliano,43,101.1,2.33,,,http://www.fuelly.com/driver/tritolosiciliano/
2011,Honda,PCX,21,captainsensible,43,101.1,2.33,,,http://www.fuelly.com/driver/captainsensible/
2011,Honda,PCX,7,SeaJ,43,101.1,2.33,,,http://www.fuelly.com/driver/SeaJ/
2011,Honda,PCX,35,pcxeddie,43.1,101.4,2.32,,,http://www.fuelly.com/driver/pcxeddie/
2011,Honda,PCX,11,t288msd,43.1,101.4,2.32,,,http://www.fuelly.com/driver/t288msd/
2010,Honda,PCX,11,psou,43.1,101.4,2.32,,,http://www.fuelly.com/driver/psou/
2012,Honda,PCX,5,wolverin,43.4,102.1,2.30,,,http://www.fuelly.com/driver/wolverin/
2012,Honda,PCX,5,dude494,43.4,102.1,2.30,,,http://www.fuelly.com/driver/dude494/
2011,Honda,PCX,9,cmbarbosa,43.5,102.3,2.30,,,http://www.fuelly.com/driver/cmbarbosa/
2011,Honda,PCX,4,Singh007,43.5,102.3,2.30,,,http://www.fuelly.com/driver/Singh007/
2011,Honda,PCX,12,mmatos1972,43.8,103.0,2.28,,,http://www.fuelly.com/driver/mmatos1972/
2012,Honda,PCX,1,fths,44,103.5,2.27,,,http://www.fuelly.com/driver/fths/
2011,Honda,PCX,3,nuninf,44,103.5,2.27,,,http://www.fuelly.com/driver/nuninf/
2012,Honda,PCX,16,arechp,44.2,104.0,2.26,,,http://www.fuelly.com/driver/arechp/
2011,Honda,PCX,15,IvoSousaNunes,44.2,104.0,2.26,,,http://www.fuelly.com/driver/IvoSousaNunes/
2012,Honda,PCX,1,jon1612,44.4,104.4,2.25,,,http://www.fuelly.com/driver/jon1612/
2012,Honda,PCX,11,Faruk,44.5,104.7,2.25,,,http://www.fuelly.com/driver/Faruk/
2012,Honda,PCX,9,emrahergene,44.5,104.7,2.25,,,http://www.fuelly.com/driver/emrahergene/
2010,Honda,PCX,5,migelamigo,44.5,104.7,2.25,,,http://www.fuelly.com/driver/migelamigo/
2012,Honda,PCX,12,Theboybilly,44.7,105.1,2.24,,,http://www.fuelly.com/driver/Theboybilly/
2012,Honda,PCX,14,tiagobgarcia,44.9,105.6,2.23,,,http://www.fuelly.com/driver/tiagobgarcia/
2011,Honda,PCX,19,Sprinkle,45,105.8,2.22,,,http://www.fuelly.com/driver/Sprinkle/
2011,Honda,PCX,7,fl1p,45.1,106.1,2.22,,,http://www.fuelly.com/driver/fl1p/
2012,Honda,PCX,4,AJPINTO,45.4,106.8,2.20,,,http://www.fuelly.com/driver/AJPINTO/
2012,Honda,PCX,2,BuzZee,45.4,106.8,2.20,,,http://www.fuelly.com/driver/BuzZee/
2012,Honda,PCX,15,bsantos01,45.5,107.0,2.20,,,http://www.fuelly.com/driver/bsantos01/
2010,Honda,PCX,1,vince93,45.7,107.5,2.19,,,http://www.fuelly.com/driver/vince93/
2011,Honda,PCX,2,qsecofr,45.9,108.0,2.18,,,http://www.fuelly.com/driver/qsecofr/
2011,Honda,PCX,4,xaeron,46,108.2,2.17,,,http://www.fuelly.com/driver/xaeron/
2012,Honda,PCX,2,fantasma,46.1,108.4,2.17,,,http://www.fuelly.com/driver/fantasma/
2011,Honda,PCX,1,papakilo87,46.2,108.7,2.16,,,http://www.fuelly.com/driver/papakilo87/
2012,Honda,PCX,7,HugoRR,46.4,109.1,2.16,,,http://www.fuelly.com/driver/HugoRR/
2011,Honda,PCX,32,gumbykrg,46.4,109.1,2.16,,,http://www.fuelly.com/driver/gumbykrg/
2012,Honda,PCX,6,mikeymike80,46.8,110.1,2.14,,,http://www.fuelly.com/driver/mikeymike80/
2012,Honda,PCX,1,gnlmendes,47,110.6,2.13,,,http://www.fuelly.com/driver/gnlmendes/
2011,Honda,PCX,17,haildamage,47.9,112.7,2.09,,,http://www.fuelly.com/driver/haildamage/
2011,Honda,PCX,1,Deepstink,47.9,112.7,2.09,,,http://www.fuelly.com/driver/Deepstink/
2012,Honda,PCX,8,pearlwhitepcx,48.6,114.3,2.06,,,http://www.fuelly.com/driver/pearlwhitepcx/
2012,Honda,PCX,2,Aneroll,49,115.3,2.04,,,http://www.fuelly.com/driver/Aneroll/
2011,Honda,PCX,2,thenut,51.3,120.7,1.95,,,http://www.fuelly.com/driver/thenut/
2011,Honda,PCX,43,pecardoso,54.2,127.5,1.85,,,http://www.fuelly.com/driver/pecardoso/
2012,Honda,PCX,17,qed,55,129.4,1.82,,,http://www.fuelly.com/driver/qed/
2013,Honda,PCX150,6,vwbike,26.5,62.3,3.77,150,,http://www.fuelly.com/driver/vwbike/
2013,Honda,PCX150,49,auerbacs,32.1,75.5,3.12,150,,http://www.fuelly.com/driver/auerbacs/
2013,Honda,PCX150,20,jspahn,32.5,76.4,3.08,150,,http://www.fuelly.com/driver/jspahn/
2013,Honda,PCX150,2,CooleyPCXRider,32.6,76.7,3.07,150,,http://www.fuelly.com/driver/CooleyPCXRider/
2013,Honda,PCX150,5,TxLngHrn81,33.4,78.6,2.99,150,,http://www.fuelly.com/driver/TxLngHrn81/
2013,Honda,PCX150,1,PeaceX,35.9,84.4,2.79,150,,http://www.fuelly.com/driver/PeaceX/
2013,Honda,PCX150,30,cessna151,36.1,84.9,2.77,150,,http://www.fuelly.com/driver/cessna151/
2013,Honda,PCX150,4,HondaPCX150,36.3,85.4,2.75,150,,http://www.fuelly.com/driver/HondaPCX150/
2013,Honda,PCX150,11,nycperegrine,36.6,86.1,2.73,150,,http://www.fuelly.com/driver/nycperegrine/
2013,Honda,PCX150,2,w0rM,36.7,86.3,2.72,150,,http://www.fuelly.com/driver/w0rM/
2013,Honda,PCX150,3,PACMAN83,37.6,88.4,2.66,150,,http://www.fuelly.com/driver/PACMAN83/
2013,Honda,PCX150,8,InlineSkate,37.7,88.7,2.65,150,,http://www.fuelly.com/driver/InlineSkate/
2013,Honda,PCX150,8,PCX150guy,38.1,89.6,2.62,150,,http://www.fuelly.com/driver/PCX150guy/
2013,Honda,PCX150,10,Mr43220,38.4,90.3,2.60,150,,http://www.fuelly.com/driver/Mr43220/
2013,Honda,PCX150,1,dmpeters60077,38.6,90.8,2.59,150,,http://www.fuelly.com/driver/dmpeters60077/
2013,Honda,PCX150,25,motocross42,39.8,93.6,2.51,150,,http://www.fuelly.com/driver/motocross42/
2013,Honda,PCX150,5,loudgonzo,40,94.1,2.50,150,,http://www.fuelly.com/driver/loudgonzo/
