Year,Make,Model,fuelups,user,KML,MPG,LP100KM,CC,Style,url
2006,Aprilia,RSV R 1000,12,ezza23,15.7,36.9,6.37,1000,,http://www.fuelly.com/driver/ezza23/
2004,Aprilia,RSV R 1000,3,bigadz7,16.2,38.1,6.17,1000,,http://www.fuelly.com/driver/bigadz7/
2012,Aprilia,RSV4,13,neldy,11.4,26.8,8.77,,,http://www.fuelly.com/driver/neldy/
2011,Aprilia,RSV4,2,rescue13.,12.2,28.7,8.20,,,http://www.fuelly.com/driver/rescue13./
2012,Aprilia,RSV4,15,ericgullickson,13.1,30.8,7.63,,,http://www.fuelly.com/driver/ericgullickson/
2009,Aprilia,Scarabeo 100,18,DrHoatzin,39.7,93.4,2.52,100,,http://www.fuelly.com/driver/DrHoatzin/
2008,Aprilia,Scarabeo 100,42,DDeMars,40.3,94.8,2.48,100,,http://www.fuelly.com/driver/DDeMars/
2001,Aprilia,Scarabeo 150,40,spartan1984,26.1,61.4,3.83,150,,http://www.fuelly.com/driver/spartan1984/
2002,Aprilia,Scarabeo 150,2,slowhand,27,63.5,3.70,150,,http://www.fuelly.com/driver/slowhand/
2002,Aprilia,Scarabeo 150,38,standup.,30,70.6,3.33,150,,http://www.fuelly.com/driver/standup./
2010,Aprilia,Scarabeo 200,21,lebasi,22.3,52.5,4.48,200,,http://www.fuelly.com/driver/lebasi/
2009,Aprilia,Scarabeo 200,17,dammitau,27.3,64.2,3.66,200,,http://www.fuelly.com/driver/dammitau/
2009,Aprilia,Scarabeo 200,25,Whynot,27.4,64.5,3.65,200,,http://www.fuelly.com/driver/Whynot/
2010,Aprilia,Scarabeo 200,23,sezme,27.8,65.4,3.60,200,,http://www.fuelly.com/driver/sezme/
2008,Aprilia,Scarabeo 200,1,brytrkr1,28.4,66.8,3.52,200,,http://www.fuelly.com/driver/brytrkr1/
2009,Aprilia,Scarabeo 200,16,rd81,28.7,67.5,3.48,200,,http://www.fuelly.com/driver/rd81/
2009,Aprilia,Scarabeo 200,11,paulmarrington,29.5,69.4,3.39,200,,http://www.fuelly.com/driver/paulmarrington/
