2009,Aprilia,Scarabeo 200,31.3,73.6,3.19,200,http://www.fuelly.com/driver/ko6zl/
2012,Aprilia,Scarabeo 200ie,29.5,69.4,3.39,200,http://www.fuelly.com/driver/contes/
2009,Aprilia,Scarabeo 200ie,31.4,73.9,3.18,200,http://www.fuelly.com/driver/doosteps/
2006,Aprilia,Scarabeo 250,25.6,60.2,3.91,250,http://www.fuelly.com/driver/Stubbie/
2006,Aprilia,Scarabeo 250,26.2,61.6,3.82,250,http://www.fuelly.com/driver/Stubbie/
2006,Aprilia,Scarabeo 250,26.3,61.9,3.8,250,http://www.fuelly.com/driver/Wayward/
2006,Aprilia,Scarabeo 250ie,25.8,60.7,3.88,250,http://www.fuelly.com/driver/noahyzf1000./
2008,Aprilia,Scarabeo 250ie,28.4,66.8,3.52,250,http://www.fuelly.com/driver/cdhcmck/
2010,Aprilia,Scarabeo 300 Special,25.3,59.5,3.95,300,http://www.fuelly.com/driver/kke/
2009,Aprilia,Scarabeo 300 Special,27.9,65.6,3.58,300,http://www.fuelly.com/driver/pauleta/
2010,Aprilia,Scarabeo 300 Special,30.2,71,3.31,300,http://www.fuelly.com/driver/godders/
2006,Aprilia,Scarabeo 500,20.4,48,4.9,500,http://www.fuelly.com/driver/kutch/
2004,Aprilia,Scarabeo 500,22.9,53.9,4.37,500,http://www.fuelly.com/driver/radiation/
2005,Aprilia,Scarabeo 500,24,56.5,4.17,500,http://www.fuelly.com/driver/Scarab./
2009,Aprilia,Scarabeo 500ie,21.5,50.6,4.65,500,http://www.fuelly.com/driver/onlinemike./
2008,Aprilia,Scarabeo 500ie,22.1,52,4.52,500,http://www.fuelly.com/driver/bfeley/
2007,Aprilia,Scarabeo 500ie,22.7,53.4,4.41,500,http://www.fuelly.com/driver/mythdraug/
2007,Aprilia,Scarabeo 500ie,23,54.1,4.35,500,http://www.fuelly.com/driver/Pancho/
2007,Aprilia,Scarabeo 500ie,24.3,57.2,4.12,500,http://www.fuelly.com/driver/jdmady/
2007,Aprilia,Scarabeo 500ie,26.1,61.4,3.83,500,http://www.fuelly.com/driver/ssbillyd./
2009,Aprilia,Scarabeo 500ie,28.1,66.1,3.56,500,http://www.fuelly.com/driver/ButtPlugg/
2011,Aprilia,Shiver 750 SL,16,37.6,6.25,750,http://www.fuelly.com/driver/shiver750/
2009,Aprilia,Shiver 750 SL,16.8,39.5,5.95,750,http://www.fuelly.com/driver/Cammie45/
2009,Aprilia,Shiver 750 SL,16.8,39.5,5.95,750,http://www.fuelly.com/driver/tmcguire47/
