Year,Make,Model,fuelups,user,KML,kms,CC,Style,url
2006,Genuine,Buddy 125,4,PhoenixScoot,52,208,125,,
2006,Honda,Reflex,8,mdh01,51.8,414.4,,,
2011,Kawasaki,Vulcan 900 Custom,10,countrygirl1,51.6,516,900,,
2011,Honda,PCX,2,thenut,51.3,102.6,,,
2012,Honda,CBF125,7,GiantSchnauzer,51.2,358.4,125,,
1978,Honda,ST70,4,thebarefootchef,51.2,204.8,70,,
2012,Genuine,Stella 150 4T,10,Nettar,51.1,511,150,,
2009,Honda,CBF125,7,timjefferies,51.1,357.7,125,,
2009,Honda,CBF125,9,boldinn,50.7,456.3,125,,
1988,Honda,ZB50,10,yoshirocks702,50.7,507,50,,
2010,Keeway,superlight,36,vieito,50.6,1821.6,,,
2010,Kymco,Yager GT 200i,20,VTX,50.6,1012,200,,
2012,Honda,CBF125,8,DonDino,50.5,404,125,,
2010,Honda,CBF125,6,Benking,50.5,303,125,,
2012,Suzuki,Shogun Axelo,30,spectrelabs,50.5,1515,,,
1999,Honda,VFR800 Interceptor,5,lomme,50.4,252,800,,
2011,Yamaha,YBR125,2,aramaziakin,50.2,100.4,125,,
2011,Honda,CBF125,28,silverrider,50,1400,125,,
2011,Yamaha,YB100,42,airbiscuit,50,2100,100,,
2012,Honda,CBF125,4,Ollossm,49.9,199.6,125,,
2007,Honda,Wave,7,akuijan,49.8,348.6,,,
2010,TVS,Motors apache rtr 160,3,kantu,49.8,149.4,160,,
2009,Honda,CBF125,10,darich,49.7,497,125,,
2012,Suzuki,shogun FL125RCMD,23,neilratuita,49.7,1143.1,,,
2010,Modenas,GT128,9,popo,49.6,446.4,128,,
2011,Tomos,Streetmate Racing,9,IVIUPPET,49.6,446.4,,,
2008,Honda,shine,4,santhosh.,49.4,197.6,,,
2011,Lexmoto,Street 125,5,gl0ckage,49.4,247,125,,
2006,Bajaj,Pulsar 150 DTSi,43,Renji,49.2,2115.6,150,,
2011,Honda,CBF125,18,Scallywag,49.2,885.6,125,,
2011,Honda,Spacy 110,6,bayu,49.2,295.2,110,,
2012,Honda,Vario 125 PGM-FI,19,dglrs,49.2,934.8,125,,
2012,Honda,PCX,2,Aneroll,49,98,,,
2006,Honda,Shadow 750,5,SamiiTiger,49,245,750,,
2007,Vespa,GTS 250 ie,9,prybo,49,441,250,,
2010,Genuine,Stella 150 4T,8,Sca1pe1,48.9,391.2,150,,
2012,Honda,CBF 150 Invicta,4,Knuckles30,48.8,195.2,150,,
2011,Honda,CBF125,2,vabzdys,48.8,97.6,125,,
2010,Bajaj,Pulsar 135 LS,3,x3v4nx,48.7,146.1,135,,
2009,Johnny,Pag dd50e-2,18,nikomil1,48.7,876.6,50,,
2012,Honda,PCX,8,pearlwhitepcx,48.6,388.8,,,
2009,Vespa,LX 150,5,xtralongleave,48.6,243,150,,
2012,Suzuki,Access 125,4,amit81sharma,48.4,193.6,125,,http://www.fuelly.com/driver/amit81sharma/Access 125
2006,Tank,Urban,17,Apittington,48.3,821.1,,,
2003,Kymco,Cobra Cross 50,7,alexnick,48.2,337.4,50,,
2003,Honda,Metropolitan,6,ZX99,48,288,,,
2008,Honda,CBF125,27,Ludethedude,47.9,1293.3,125,,
2011,Honda,PCX,17,haildamage,47.9,814.3,,,
2011,Honda,PCX,1,Deepstink,47.9,47.9,,,
2008,Honda,Wave,2,haziq123,47.9,95.8,,,
2007,Yamaha,YBR 125,6,kevinheb,47.9,287.4,125,,
2009,Yamaha,YBR125,5,ZeroC,47.9,239.5,125,,
2007,Honda,Metropolitan &bull; Gas,4,Rusty.,47.8,191.2,,,
2012,Honda,Vison 110,1,gcarnaz,47.8,47.8,110,,
2007,Suzuki,ADRESS 125,3,pebble35,47.7,143.1,125,,http://www.fuelly.com/driver/pebble35/ADRESS 125
2012,Honda,CBF125,9,IGCNightmare,47.6,428.4,125,,
2011,Honda,CBF125,28,DBarbeiro,47.6,1332.8,125,,
2010,Peace,Sports TPGS-805,3,terrdnf,47.6,142.8,50,,
2006,Yamaha,Lagenda 110,17,cyroz,47.6,809.2,110,,
2012,Genuine,Stella 150 4T,11,vwgrl1999.,47.5,522.5,150,,
2010,Genuine,Stella 150 4T,9,Railhead2,47.4,426.6,150,,
2010,SYM,Symba,3,MissEnota.,47.4,142.2,,,
2006,Vespa,GT200,11,dangolbo,47.4,521.4,200,,
2012,Honda,CBF125,2,zapar74,47.3,94.6,125,,
2005,Suzuki,tune,6,lyam,47.3,283.8,,,
2011,Dazon,Custom 150CC,4,Kitstop,47.2,188.8,150,,
2007,Genuine,Buddy 125,4,CiaoItalia.,47.2,188.8,125,,
2009,Honda,CBF125,4,Cardinal125,47.2,188.8,125,,
2007,Honda,Shadow 750,1,codyclark02,47.2,47.2,750,,
2011,Bajaj,Pulsar 135 LS,17,agzorig,47.1,800.7,135,,
