Year,Make,Model,Model,fuelups,user,kml,kms,CC,,,
2010,BMW,F800GS    ,F800GS,41,Stumpyfingers,22.8,934.8,,,,
2010,BMW,F800GS    ,F800GS,20,showard,23,460,,,,
2010,BMW,F800GS    ,F800GS,31,Muca22,18.2,564.2,,,,
2010,BMW,F800GS    ,F800GS,2,bearbuck,22.9,45.8,,,,
2010,BMW,F800GS    ,F800GS,17,msfazer,21,357,,,,
2010,BMW,F800GS    ,F800GS,20,wellsy,22.2,444,,,,
2010,BMW,F800GS    ,F800GS,15,redback,17.8,267,,,,
2010,BMW,F800GS    ,F800GS,9,KnopKop,18.4,165.6,,,,
2010,BMW,F800GS    ,F800GS,8,richmo.,22,176,,,,
2010,BMW,F800GS    ,F800GS,21,gainerwj.,20.2,424.2,,,,
2010,BMW,F800GS    ,F800GS,124,Pray4Snow,20.9,2591.6,,,,
2010,BMW,F800GS    ,F800GS,18,calgarymoto,22.2,399.6,,,,
2010,BMW,F800GS    ,F800GS,1,gianni1951,22.5,22.5,,,,
2010,BMW,F800GS    ,F800GS,3,Pleschutznigs,20.6,61.8,,,,
2010,BMW,F800GS    ,F800GS,3,basko,10.6,31.8,,,,
2009,BMW,F800GS    ,F800GS,29,teotsin,18.7,542.3,,,,
2009,BMW,F800GS    ,F800GS,29,haildamage,21.7,629.3,,,,
2009,BMW,F800GS    ,F800GS,108,bfdarren,22.6,2440.8,,,,
2009,BMW,F800GS    ,F800GS,35,snappo,21,735,,,,
2009,BMW,F800GS    ,F800GS,96,rockinrog.,24.1,2313.6,,,,
2009,BMW,F800GS    ,F800GS,4,SACK,17.9,71.6,,,,
2009,BMW,F800GS    ,F800GS,11,GSRider.,18.7,205.7,,,,
2009,BMW,F800GS    ,F800GS,8,yogeek,25.2,201.6,,,,
2009,BMW,F800GS    ,F800GS,4,jakobreid,20.9,83.6,,,,
2009,BMW,F800GS    ,F800GS,3,tinusvdb,21.5,64.5,,,,
2009,BMW,F800GS    ,F800GS,8,mefromsa,19.6,156.8,,,,
2009,BMW,F800GS    ,F800GS,17,maddaddy,23.3,396.1,,,,
2008,BMW,F800GS    ,F800GS,99,drid,18,1782,,,,
2008,BMW,F800GS    ,F800GS,49,tombell,20.1,984.9,,,,
2008,BMW,F800GS    ,F800GS,5,frankie,22.2,111,,,,
2008,BMW,F800GS    ,F800GS,10,tomdupld,17.9,179,,,,
2008,BMW,F800GS    ,F800GS,2,Ugie,23,46,,,,
2008,BMW,F800GS    ,F800GS,1,moriarty,15.7,15.7,,,,
2012,BMW,F800R    ,F800R,10,Banaanhangwagen,20.8,208,,,,
2012,BMW,F800R    ,F800R,3,elamd,21.9,65.7,,,,
2011,BMW,F800R    ,F800R,97,andrew271828,20.3,1969.1,,,,
2011,BMW,F800R    ,F800R,43,Ale,19.7,847.1,,,,
2011,BMW,F800R    ,F800R,42,Teep,19.8,831.6,,,,
2011,BMW,F800R    ,F800R,23,PxP,21.5,494.5,,,,
2011,BMW,F800R    ,F800R,31,blach13,21.4,663.4,,,,
2011,BMW,F800R    ,F800R,11,shaun8412,18.2,200.2,,,,
2011,BMW,F800R    ,F800R,1,gogy115,21.6,21.6,,,,
2011,BMW,F800R    ,F800R,4,pedrostabile,17.2,68.8,,,,
2011,BMW,F800R    ,F800R,3,BallisticWarrior,36.2,108.6,,,,
2011,BMW,F800R    ,F800R,5,psgregory,18,90,,,,
2010,BMW,F800R    ,F800R,17,Gibbo,21.1,358.7,,,,
2010,BMW,F800R    ,F800R,7,nikos,19.8,138.6,,,,
2010,BMW,F800R    ,F800R,26,daemonium,15.7,408.2,,,,
2010,BMW,F800R    ,F800R,8,RadMan,23.4,187.2,,,,
2010,BMW,F800R    ,F800R,31,goldfish168,22.9,709.9,,,,
2010,BMW,F800R    ,F800R,28,popsky,23.7,663.6,,,,
2009,BMW,F800R    ,F800R,110,GrandVince,20,2200,,,,
2009,BMW,F800R    ,F800R,7,weefelly,22.4,156.8,,,,
2009,BMW,F800R    ,F800R,41,iwanprys,21,861,,,,
2009,BMW,F800R    ,F800R,1,mart1jn,22.1,22.1,,,,
2009,BMW,F800R    ,F800R,89,Hedgehog,18.9,1682.1,,,,
2010,BMW,F800S    ,F800S,38,guidoveloce,19.9,756.2,,,,
2008,BMW,F800S    ,F800S,137,growse,20.2,2767.4,,,,
2008,BMW,F800S    ,F800S,28,Heboza,21.3,596.4,,,,
2008,BMW,F800S    ,F800S,3,Br,22,66,,,,
2008,BMW,F800S    ,F800S,23,lollonet,18.8,432.4,,,,
2008,BMW,F800S    ,F800S,5,Koevoet,43.9,219.5,,,,
2008,BMW,F800S    ,F800S,3,olivethebiker.,20.4,61.2,,,,
2008,BMW,F800S    ,F800S,1,nsbeemer.,17.9,17.9,,,,
2007,BMW,F800S    ,F800S,174,polackium,23.1,4019.4,,,,
2007,BMW,F800S    ,F800S,171,Andy949494,25.1,4292.1,,,,
2007,BMW,F800S    ,F800S,109,johnM,19.2,2092.8,,,,
2007,BMW,F800S    ,F800S,13,JFritts,24.7,321.1,,,,
2007,BMW,F800S    ,F800S,234,Scorch,19.7,4609.8,,,,
2007,BMW,F800S    ,F800S,52,bencarufel,20.6,1071.2,,,,
2007,BMW,F800S    ,F800S,288,psgregory,19.7,5673.6,,,,
2007,BMW,F800S    ,F800S,80,Teep,19.3,1544,,,,
2007,BMW,F800S    ,F800S,13,corywouters,24.4,317.2,,,,
2007,BMW,F800S    ,F800S,77,lynxmann,24.7,1901.9,,,,
2007,BMW,F800S    ,F800S,130,cynic,23.2,3016,,,,
2007,BMW,F800S    ,F800S,25,Iyhel,22.4,560,,,,
2007,BMW,F800S    ,F800S,32,Gapek,18.7,598.4,,,,
2007,BMW,F800S    ,F800S,1,Avboden.,26.3,26.3,,,,
2007,BMW,F800S    ,F800S,24,novasbc,22,528,,,,
2007,BMW,F800S    ,F800S,12,Rabster,19.8,237.6,,,,
2007,BMW,F800S    ,F800S,1,MoonerOwned,16.3,16.3,,,,
2006,BMW,F800S    ,F800S,32,Steshen,21.4,684.8,,,,
2006,BMW,F800S    ,F800S,42,pastou,19.6,823.2,,,,
2006,BMW,F800S    ,F800S,5,Jevigar,17.1,85.5,,,,
2006,BMW,F800S    ,F800S,49,jpoulsen,20.2,989.8,,,,
2006,BMW,F800S    ,F800S,2,leepy,21.7,43.4,,,,
2006,BMW,F800S    ,F800S,12,ercanj,21.2,254.4,,,,
2006,BMW,F800S    ,F800S,3,Dunny,20.2,60.6,,,,
2012,BMW,F800ST    ,F800ST,20,bartbaaten,22.3,446,,,,
2012,BMW,F800ST    ,F800ST,12,dRider800,22.2,266.4,,,,
2012,BMW,F800ST    ,F800ST,12,Scorch,19.4,232.8,,,,
