Year,Make,Model,Model,fuelups,user,kml,kms,CC,,,
2004,Honda,CBR600RR    ,CBR600RR,3,righijp,16.9,50.7,,,,
2004,Honda,CBR600RR    ,CBR600RR,4,shikari89.,15.1,60.4,,,,
2004,Honda,CBR600RR    ,CBR600RR,1,John715z,18.3,18.3,,,,
2004,Honda,CBR600RR    ,CBR600RR,14,DarKSpY,15.8,221.2,,,,
2003,Honda,CBR600RR    ,CBR600RR,33,daviator,15.8,521.4,,,,
2003,Honda,CBR600RR    ,CBR600RR,11,darkgoda33,13.3,146.3,,,,
2003,Honda,CBR600RR    ,CBR600RR,27,MuddyJeep,13.7,369.9,,,,
2003,Honda,CBR600RR    ,CBR600RR,119,dmitry,17.4,2070.6,,,,
2003,Honda,CBR600RR    ,CBR600RR,13,allancawood,14.2,184.6,,,,
2003,Honda,CBR600RR    ,CBR600RR,7,williamruiz,17.7,123.9,,,,
2003,Honda,CBR600RR    ,CBR600RR,22,Audiofyl,15.1,332.2,,,,
2003,Honda,CBR600RR    ,CBR600RR,1,Weez3L,14.9,14.9,,,,
2003,Honda,CBR600RR    ,CBR600RR,7,SeattleSi,17.8,124.6,,,,
2000,Honda,CBR900RR    ,CBR900RR,11,Bard,14.7,161.7,,,,
1999,Honda,CBR900RR    ,CBR900RR,18,n3cr0,17.1,307.8,,,,
1999,Honda,CBR900RR    ,CBR900RR,35,ChrissD,16.5,577.5,,,,
1999,Honda,CBR900RR    ,CBR900RR,5,Lesgsxr,16.1,80.5,,,,
1998,Honda,CBR900RR    ,CBR900RR,57,Des,16.6,946.2,,,,
1997,Honda,CBR900RR    ,CBR900RR,19,Anjuna,18.2,345.8,,,,
1997,Honda,CBR900RR    ,CBR900RR,1,AndyCr15,9.3,9.3,,,,
1997,Honda,CBR900RR    ,CBR900RR,3,Dickiederson,22.6,67.8,,,,
1997,Honda,CBR900RR    ,CBR900RR,9,bladerunner.,16.8,151.2,,,,
1997,Honda,CBR900RR    ,CBR900RR,21,kbh,17.8,373.8,,,,
1997,Honda,CBR900RR    ,CBR900RR,1,nightmagic,14.7,14.7,,,,
1996,Honda,CBR900RR    ,CBR900RR,5,TboneGTS250,17.6,88,,,,
1995,Honda,CBR900RR    ,CBR900RR,1,o0lysha,13.9,13.9,,,,
1994,Honda,CBR900RR    ,CBR900RR,1,Dolph,13.6,13.6,,,,
1992,Honda,CBR900RR    ,CBR900RR,7,Scottrates,15.3,107.1,,,,
2001,Honda,CBR929    ,CBR929,11,sko110569,16.5,181.5,,,,
2001,Honda,CBR929    ,CBR929,14,nate3535,15.3,214.2,,,,
2001,Honda,CBR929    ,CBR929,33,drewbytes,15.6,514.8,,,,
2001,Honda,CBR929 &bull; Gas L2 ,CBR929,3,nathanbrown03.,13.2,39.6,,,,
2001,Honda,CBR929    ,CBR929,2,mtnboy,15.9,31.8,,,,
2000,Honda,CBR929    ,CBR929,3,mrh372,12.9,38.7,,,,
2002,Honda,CBR954    ,CBR954,47,naviles,16.8,789.6,,,,
2002,Honda,CBR954    ,CBR954,8,lankyruss,16.7,133.6,,,,
2012,Honda,CBX250 Twister   ,CBX250,3,powermemo,242.8,728.4,,,,
2012,Honda,CBX250 Twister   ,CBX250,6,pulgafunky,25.3,151.8,,,,
2011,Honda,CBX250 Twister   ,CBX250,13,jorgecepe,21.2,275.6,,,,
2010,Honda,CBX250 Twister   ,CBX250,40,CobusT,27.7,1108,,,,
2010,Honda,CBX250 Twister   ,CBX250,18,frodo,21.3,383.4,,,,
2008,Honda,CBX250 Twister   ,CBX250,3,Dazza,23.4,70.2,,,,
2008,Honda,CBX250 Twister   ,CBX250,1,guime,25.4,25.4,,,,
2006,Honda,CBX250 Twister   ,CBX250,1,aybeez,20,20,,,,
2006,Honda,CBX250 Twister   ,CBX250,5,wvb,29.8,149,,,,
2006,Honda,CBX250 Twister   ,CBX250,14,Scorpius,23,322,,,,
2006,Honda,CBX250 Twister   ,CBX250,13,Str0pi3,22.1,287.3,,,,
2005,Honda,CBX250 Twister   ,CBX250,32,MhVW,21.6,691.2,,,,
1988,Honda,CD250U    ,CD250U,3,str0nach,22.3,66.9,,,,
2008,Honda,CG 125   ,CG,26,paolososa,38.1,990.6,125,,,
2008,Honda,CG 125   ,CG,6,inductible,35.1,210.6,125,,,
2007,Honda,CG 125   ,CG,22,HeXt,32,704,125,,,
2006,Honda,CG 125   ,CG,12,Hobe,37.8,453.6,125,,,
2006,Honda,CG 125   ,CG,2,Digitalize,27.7,55.4,125,,,
2005,Honda,CG 125   ,CG,15,Hobsy85,32,480,125,,,
2000,Honda,CG 125   ,CG,1,Mike31121994,86.3,86.3,125,,,
1996,Honda,CG 125   ,CG,9,geoffnewblue,31.2,280.8,125,,,
1990,Honda,CG 125   ,CG,1,ironmike,14.4,14.4,125,,,
2006,Honda,CG125    ,CG125,4,iamcardboard,35.6,142.4,,,,
2005,Honda,CG125    ,CG125,15,paul2129,37.9,568.5,,,,
2002,Honda,CG125    ,CG125,15,J033y,40.8,612,,,,
2001,Honda,CG125    ,CG125,10,des077,44.8,448,,,,
2001,Honda,CG125    ,CG125,1,Farjo,32.2,32.2,,,,
2001,Honda,CG125    ,CG125,2,Czwartek,27.5,55,,,,
2000,Honda,CG125    ,CG125,31,Toycel,34.5,1069.5,,,,
1999,Honda,CG125    ,CG125,5,Harding,35.7,178.5,,,,
1991,Honda,CG125    ,CG125,5,Blurredman,30.1,150.5,,,,
1970,Honda,CL100    ,CL100,6,jdsmothsteward,36.6,219.6,,,,
1974,Honda,CL125    ,CL125,4,theshaolin,24.3,97.2,,,,
1974,Honda,CL200    ,CL200,7,mototom,21.7,151.9,,,,
1973,Honda,CL350    ,CL350,26,salsola,22.1,574.6,,,,
1973,Honda,CL350    ,CL350,9,cartfreak,19.1,171.9,,,,
1973,Honda,CL350    ,CL350,16,RobbMeeX,18.7,299.2,,,,
2002,Honda,CLR125 City Fly  ,CLR125,4,Total13,33.2,132.8,,,,
1983,Honda,CM125    ,CM125,19,aljada,27.9,530.1,,,,
1978,Honda,CM185T    ,CM185T,5,Couchsurfer,24.5,122.5,,,,
1982,Honda,CM200T    ,CM200T,2,leepy,34.6,69.2,,,,
1981,Honda,CM200T    ,CM200T,43,rem83,33.8,1453.4,,,,
1981,Honda,CM200T    ,CM200T,1,fbsf,26,26,,,,
1981,Honda,CM200T    ,CM200T,8,tim0cruz,15.3,122.4,,,,
1981,Honda,CM200T    ,CM200T,3,stashmikols,41.3,123.9,,,,
1980,Honda,CM200T    ,CM200T,7,spinecone,26,182,,,,
1980,Honda,CM200T    ,CM200T,3,ryandick,30.6,91.8,,,,
1980,Honda,CM200T    ,CM200T,23,csmcanarney,25.9,595.7,,,,
1974,Honda,CM200T    ,CM200T,10,yves.,30.7,307,,,,
2007,Honda,CM250C    ,CM250C,11,danloc78,29.9,328.9,,,,
1986,Honda,CM250C    ,CM250C,1,66mercurycomet,29.2,29.2,,,,
1983,Honda,CM250C    ,CM250C,3,jacpot,21.7,65.1,,,,
1982,Honda,CM250C    ,CM250C,1,JT71,20.4,20.4,,,,
1982,Honda,CM250C    ,CM250C,12,IH8regs,23.9,286.8,,,,
1982,Honda,CM250C    ,CM250C,20,jessekahtava.,29.9,598,,,,
1982,Honda,CM250C    ,CM250C,14,SaltLakeHarv,33.8,473.2,,,,
1981,Honda,CM400a    ,CM400a,7,ShamusMcFeeley,16.6,116.2,,,,
1981,Honda,cm400c    ,cm400c,3,rideapickel,30.5,91.5,,,,
1980,Honda,CM400T    ,CM400T,3,alexmanng1,23.6,70.8,,,,
1980,Honda,CM400T    ,CM400T,19,Fox,23,437,,,,
1980,Honda,CM400T    ,CM400T,9,fna,20.4,183.6,,,,
1979,Honda,CM400T    ,CM400T,138,Travelvice,14.4,1987.2,,,,
1984,Honda,CM450E    ,CM450E,3,JPH4,20.1,60.3,,,,
2010,Honda,CRF230L    ,CRF230L,8,Fujiwara,33.2,265.6,,,,
2009,Honda,CRF230L    ,CRF230L,70,jsonder,29,2030,,,,
2009,Honda,CRF230L    ,CRF230L,1,Deez,28.6,28.6,,,,
2009,Honda,CRF230L    ,CRF230L,22,bill14224.,32.7,719.4,,,,
2008,Honda,CRF230L    ,CRF230L,13,theseed,33.3,432.9,,,,
2008,Honda,CRF230L    ,CRF230L,29,TrailChaser,27.4,794.6,,,,
2008,Honda,CRF230L    ,CRF230L,14,Keystonevania,32.3,452.2,,,,
2008,Honda,CRF230L    ,CRF230L,97,dlallen,44.2,4287.4,,,,
2008,Honda,CRF230L    ,CRF230L,1,Puppet,21.2,21.2,,,,
2009,Honda,CRF230M    ,CRF230M,16,Cloud9,31.8,508.8,,,,
2009,Honda,CRF230M    ,CRF230M,40,akusaru,30.6,1224,,,,
2009,Honda,CRF230M    ,CRF230M,17,AKRueb,36.9,627.3,,,,
2009,Honda,CRF230M    ,CRF230M,9,rozaklis,29.8,268.2,,,,
2013,Honda,CRF250L    ,CRF250L,3,Maddix,31.2,93.6,,,,
2013,Honda,CRF250L    ,CRF250L,8,bungie,29.1,232.8,,,,
2008,Honda,CRF450X    ,CRF450X,14,Elan,15.3,214.2,,,,
2011,Honda,crossrunner    ,crossrunner,5,zezas,19.3,96.5,,,,
2009,Honda,CT110    ,CT110,17,AllBunsGlazing,37.5,637.5,,,,
2007,Honda,CT110    ,CT110,2,sdalcorn,30.9,61.8,,,,
2005,Honda,CT110    ,CT110,4,jgleschinski,308,1232,,,,
2005,Honda,CT110    ,CT110,12,Luca,34.6,415.2,,,,
1982,Honda,CT110    ,CT110,5,danphoto,34.4,172,,,,
2007,Honda,CT110X    ,CT110X,11,cjb.,45.2,497.2,,,,
2006,Honda,CT110X    ,CT110X,14,MaverickAus,34.5,483,,,,
2003,Honda,CT110X    ,CT110X,5,januh,9.6,48,,,,
1978,Honda,CT110X    ,CT110X,1,Trawlercap,32.1,32.1,,,,
1970,Honda,CT-70    ,CT-70,4,Teats,40.9,163.6,,,,
2011,Honda,CTX200    ,CTX200,33,mulder,27.4,904.2,,,,
1982,Honda,CX 500 Custom  ,CX,4,MidTNJasonF,24.3,97.2,500,,,
1980,Honda,CX 500 Custom  ,CX,80,Dcmanley,20.8,1664,500,,,
1980,Honda,CX 500 Custom  ,CX,65,fonque,19.1,1241.5,500,,,
1979,Honda,CX 500 Custom  ,CX,3,retsmah,16.2,48.6,500,,,
1979,Honda,CX 500 Custom  ,CX,2,mrbelvebeard,17.3,34.6,500,,,
1979,Honda,CX 500 Custom  ,CX,1,Sethmath,21.2,21.2,500,,,
1979,Honda,CX 500 Custom  ,CX,13,joshfleming,10.9,141.7,500,,,
1979,Honda,CX 500 Custom  ,CX,2,evb,139,278,500,,,
1983,Honda,CX500    ,CX500,5,mrdiver,14.7,73.5,,,,
1982,Honda,CX500    ,CX500,1,Blurredman,18,18,,,,
1978,Honda,CX500    ,CX500,42,Servo,22.2,932.4,,,,
1978,Honda,CX500    ,CX500,4,Ragbrian,26,104,,,,
1980,Honda,CX500D    ,CX500D,162,VFORE,17.7,2867.4,,,,
1983,Honda,CX650C    ,CX650C,3,timzillion,20.7,62.1,,,,
1986,Honda,CX650ED    ,CX650ED,4,trebus,16.2,64.8,,,,
2009,Honda,DN-01    ,DN-01,65,musicide,20.9,1358.5,,,,
2009,Honda,DN-01    ,DN-01,25,cdragut,22.8,570,,,,
2005,Honda,Dream    ,Dream,10,joeycaro,42.8,428,,,,
1997,Honda,Dream    ,Dream,44,AjMick,45.2,1988.8,,,,
2011,Honda,Dylan 150   ,Dylan,25,veldthui,24.5,612.5,150,,,
2010,Honda,Elite 110   ,Elite,32,mmm12,42,1344,110,,,
2010,Honda,Elite 110   ,Elite,42,cwm1danger,43,1806,110,,,
2010,Honda,Elite 110   ,Elite,5,uncleralph,29,145,110,,,
2010,Honda,Elite 110   ,Elite,20,IntlRunner40,37.4,748,110,,,
2010,Honda,Elite 110   ,Elite,2,speedgsx98,36.7,73.4,110,,,
2009,Honda,elite 150   ,elite,27,madrugador,28.6,772.2,150,,,
1987,Honda,elite 150   ,elite,16,Sharpp,36.3,580.8,150,,,
1987,Honda,elite 150   ,elite,6,TboneGTS250,29.1,174.6,150,,,
1986,Honda,elite 150   ,elite,8,ghostnuke,26.3,210.4,150,,,
1985,Honda,elite 150   ,elite,10,nerdnic,28.2,282,150,,,
1985,Honda,elite 150   ,elite,2,tush,37.5,75,150,,,
1990,Honda,Elite 250   ,Elite,43,TboneGTS250,25.2,1083.6,250,,,
1987,Honda,Elite 250   ,Elite,19,eriaus,24.5,465.5,250,,,
1987,Honda,Elite 250   ,Elite,1,VeryCoolBike,30.4,30.4,250,,,
1986,Honda,Elite 250   ,Elite,22,BHPete,26.8,589.6,250,,,
1986,Honda,Elite 250   ,Elite,3,fritz911,21.9,65.7,250,,,
1986,Honda,Elite 250   ,Elite,2,witttom,29.4,58.8,250,,,
1986,Honda,Elite 250   ,Elite,2,wlknmn,25.8,51.6,250,,,
1986,Honda,Elite 250   ,Elite,2,timinou,23.1,46.2,250,,,
2002,Honda,Elite 50   ,Elite,11,Mortiana27,27.5,302.5,50,,,
2001,Honda,Elite 50   ,Elite,8,ktnzoo,30.1,240.8,50,,,
2001,Honda,Elite 50   ,Elite,4,Bshshondaman06,37,148,50,,,
2000,Honda,Elite 50   ,Elite,26,shiba,31.5,819,50,,,
2000,Honda,Elite 50   ,Elite,5,Hacim,28.7,143.5,50,,,
1994,Honda,Elite 50   ,Elite,8,Nizidramaniiyt,39.6,316.8,50,,,
1987,Honda,Elite 50   ,Elite,2,FeralSparky,31.2,62.4,50,,,
2007,Honda,Elite 80   ,Elite,18,Charon,36.1,649.8,80,,,
2007,Honda,Elite 80   ,Elite,14,psych2007,34,476,80,,,
2000,Honda,Elite 80   ,Elite,36,reecowvee.,34.5,1242,80,,,
2000,Honda,Elite 80   ,Elite,13,blacksmith,39.3,510.9,80,,,
1996,Honda,Elite 80   ,Elite,5,Ish,34.8,174,80,,,
1995,Honda,Elite 80   ,Elite,9,charlie01,44.8,403.2,80,,,
1993,Honda,Elite 80   ,Elite,5,weiscarver513,32,160,80,,,
1992,Honda,Elite 80   ,Elite,4,kenomatic,39.3,157.2,80,,,
1992,Honda,Elite 80   ,Elite,8,EllenH.,42.2,337.6,80,,,
1987,Honda,Elite 80   ,Elite,4,Bzaster,35,140,80,,,
2011,Honda,e-Storm 125cc   ,e-Storm,9,TaoOfTheMachine,29.8,268.2,,,,
2008,Honda,e-Storm 125cc   ,e-Storm,34,CobusT,32.5,1105,,,,
2003,Honda,EX5 C 100  ,EX5,25,njw108,65.7,1642.5,100,,,
2001,Honda,EX5 C 100  ,EX5,51,kulart159,42.9,2187.9,100,,,
1992,Honda,EX5 C 100  ,EX5,10,chronous,37.5,375,100,,,
2005,Honda,FES 125   ,FES,3,Bug65,28.1,84.3,125,,,
2011,Honda,FJS 600 Sw-t 600 ,FJS,78,ChristianD,20.6,1606.8,600,,,
2007,Honda,FMX 650 Supermotard  ,FMX,9,RigasGR,17.7,159.3,650,,,
2003,Honda,Foresight SE   ,Foresight,3,maximumx4,23.6,70.8,,,,
1999,Honda,Foresight SE   ,Foresight,8,Bugsy64,28.6,228.8,,,,
1999,Honda,Foresight SE   ,Foresight,97,zupytupy,25.5,2473.5,,,,
1997,Honda,Foresight SE   ,Foresight,6,ferventheat,34.6,207.6,,,,
2003,Honda,Forza    ,Forza,59,joeycaro,24,1416,,,,
1983,Honda,FT 500 Ascot  ,FT,28,squisher,24.5,686,500,,,
2012,Honda,Fury    ,Fury,3,BadassPCX,18.2,54.6,,,,
2011,Honda,Fury    ,Fury,10,YUUUUPPPP,19.8,198,,,,
2010,Honda,Fury    ,Fury,1,emailman,18.6,18.6,,,,
1993,Honda,Fusion    ,Fusion,3,imagesinthewind,25.8,77.4,,,,
2012,Honda,Future Helmet-in   ,Future,3,ajimz,39.2,117.6,,,,
1986,Honda,GB400    ,GB400,6,skinnious,26.1,156.6,,,,
1986,Honda,GL 650 Silverwing  ,GL,7,chamois,20.9,146.3,650,,,
1983,Honda,GL 650 Silverwing  ,GL,18,recluse,22.3,401.4,650,,,
1983,Honda,GL 650 Silverwing  ,GL,107,geezer250,22,2354,650,,,
1983,Honda,GL 650 Silverwing  ,GL,20,Dragon64Leo,21.5,430,650,,,
1979,Honda,GL1000    ,GL1000,24,Citycrosser,14.7,352.8,,,,
1978,Honda,GL1000    ,GL1000,40,drcoopster,16.7,668,,,,
1978,Honda,GL1000    ,GL1000,9,Kilgore.,13,117,,,,
1978,Honda,GL1000    ,GL1000,11,robrides85,15.4,169.4,,,,
1977,Honda,GL1000    ,GL1000,13,decker,15.8,205.4,,,,
1982,Honda,GL1100 Aspencade   ,GL1100,25,jimgpayne,16.9,422.5,,,,
1982,Honda,GL1100 Aspencade   ,GL1100,10,ironwood6058,17.2,172,,,,
1983,Honda,GL1100 Interstate   ,GL1100,7,Cerviperus,14.8,103.6,,,,
1983,Honda,GL1100 Interstate   ,GL1100,12,2ac911,13,156,,,,
1981,Honda,GL1100 Interstate   ,GL1100,22,Bulls23878,16.1,354.2,,,,
1985,Honda,GL1200    ,GL1200,7,linux2,18.6,130.2,,,,
1984,Honda,GL1200    ,GL1200,30,DanTheFedExMan,19,570,,,,
1984,Honda,GL1200    ,GL1200,20,Virago1127,14,280,,,,
1984,Honda,GL1200    ,GL1200,3,lmgreco,17.6,52.8,,,,
1987,Honda,GL1200 Aspencade   ,GL1200,3,cisgeek,28.1,84.3,,,,
1985,Honda,GL1200 Aspencade   ,GL1200,43,corvair,14.4,619.2,,,,
1998,Honda,GL1500    ,GL1500,7,Craigmri,15.8,110.6,,,,
1996,Honda,GL1500    ,GL1500,38,xamper,14.6,554.8,,,,
1996,Honda,GL1500    ,GL1500,90,TeamWolfy,14,1260,,,,
1994,Honda,GL1500    ,GL1500,95,dehiett62,15.3,1453.5,,,,
1991,Honda,GL1500    ,GL1500,1,BobbyJoe,14,14,,,,
1989,Honda,GL1500    ,GL1500,12,pvwheeler,15.4,184.8,,,,
1988,Honda,GL1500    ,GL1500,35,Zetrad76,10.8,378,,,,
1988,Honda,GL1500    ,GL1500,89,GTManiak,13.7,1219.3,,,,
1988,Honda,GL1500    ,GL1500,3,OneTrack,16.9,50.7,,,,
1997,Honda,GL1500SEV    ,GL1500SEV,16,CLTWWONE,15.3,244.8,,,,
2012,Honda,GL1800    ,GL1800,53,whataboutzid,18.1,959.3,,,,
2012,Honda,GL1800    ,GL1800,7,bigtinva,14.7,102.9,,,,
2012,Honda,GL1800    ,GL1800,9,ZPhreak,15.5,139.5,,,,
2010,Honda,GL1800    ,GL1800,14,GhostRider1800,18.6,260.4,,,,
2010,Honda,GL1800    ,GL1800,89,hykkonen,14.7,1308.3,,,,
2010,Honda,GL1800    ,GL1800,55,gadget,15,825,,,,
2010,Honda,GL1800    ,GL1800,2,UtahToad,16.6,33.2,,,,
2009,Honda,GL1800    ,GL1800,11,jthornton,17.5,192.5,,,,
2009,Honda,GL1800    ,GL1800,40,WingRider.,15.7,628,,,,
2008,Honda,GL1800    ,GL1800,12,bambas,17.7,212.4,,,,
2008,Honda,GL1800    ,GL1800,316,KenM,14,4424,,,,
2008,Honda,GL1800    ,GL1800,146,mhadden,15.6,2277.6,,,,
2008,Honda,GL1800 &bull; Gas L6 ,GL1800,45,gadget,15.7,706.5,,,,
2008,Honda,GL1800    ,GL1800,6,lsommers,13.2,79.2,,,,
2008,Honda,GL1800    ,GL1800,6,jasnmar,16.9,101.4,,,,
2008,Honda,GL1800 &bull; Gas  ,GL1800,2,DRB.,11.8,23.6,,,,
2007,Honda,GL1800    ,GL1800,65,SEPTIKANGEL,15.7,1020.5,,,,
2007,Honda,GL1800    ,GL1800,78,cc102bob,16,1248,,,,
2007,Honda,GL1800    ,GL1800,14,fahuffbers,14.1,197.4,,,,
2007,Honda,GL1800    ,GL1800,53,Quietpanic,15.9,842.7,,,,
2007,Honda,GL1800    ,GL1800,285,mspiv,16.6,4731,,,,
2006,Honda,GL1800    ,GL1800,630,dmltech,17.5,11025,,,,
2006,Honda,GL1800    ,GL1800,29,shawnls1,16.8,487.2,,,,
2006,Honda,GL1800    ,GL1800,32,frontrunner,15.5,496,,,,
2006,Honda,GL1800    ,GL1800,4,WingRider.,15.5,62,,,,
2005,Honda,GL1800    ,GL1800,644,poorboymeyer,17.3,11141.2,,,,
2005,Honda,GL1800    ,GL1800,105,shartt,13.4,1407,,,,
2004,Honda,GL1800    ,GL1800,5,Wordguy,15.9,79.5,,,,
2003,Honda,GL1800    ,GL1800,6,capitalryder,17.4,104.4,,,,
2003,Honda,GL1800    ,GL1800,10,sherm.,14.6,146,,,,
2002,Honda,GL1800    ,GL1800,17,leanburnin,19.1,324.7,,,,
2002,Honda,GL1800    ,GL1800,168,cisgeek,16.9,2839.2,,,,
2002,Honda,GL1800    ,GL1800,19,SharpShooter,13.8,262.2,,,,
2002,Honda,GL1800    ,GL1800,16,slojason,17.7,283.2,,,,
2002,Honda,GL1800    ,GL1800,1,uwe999.,10.7,10.7,,,,
2001,Honda,GL1800    ,GL1800,70,HippoWrangler,16.8,1176,,,,
2001,Honda,GL1800    ,GL1800,5,poorboymeyer,12.2,61,,,,
2008,Honda,GL1800A    ,GL1800A,115,mfberman,17.3,1989.5,,,,
2008,Honda,GL1800A    ,GL1800A,42,poorboymeyer,17.1,718.2,,,,
2006,Honda,GL1800A    ,GL1800A,13,cdragut,16.1,209.3,,,,
2004,Honda,GL1800A    ,GL1800A,20,TnNytehawk,14.8,296,,,,
2003,Honda,GL1800A    ,GL1800A,3,dusty33,14.6,43.8,,,,
2002,Honda,GL1800A    ,GL1800A,146,terryhitt,14.2,2073.2,,,,
2002,Honda,GL1800A    ,GL1800A,6,marks146,18.1,108.6,,,,
2002,Honda,GL1800A    ,GL1800A,2,netrooky,17.2,34.4,,,,
2001,Honda,GL1800A    ,GL1800A,41,BradFelmey,16.8,688.8,,,,
2001,Honda,GL1800A    ,GL1800A,42,pakntexn,14.8,621.6,,,,
2001,Honda,GL1800A    ,GL1800A,5,BlueBlazer49,16.8,84,,,,
1982,Honda,GL500 Silver Wing Interstate ,GL500,22,dawhi,21,462,,,,
1982,Honda,GL500 Silver Wing Interstate ,GL500,14,Runaway1956,21.8,305.2,,,,
1982,Honda,GL500 Silver Wing Interstate ,GL500,9,caml224,22.6,203.4,,,,
2012,Honda,Goldwing    ,Goldwing,7,CREEPUR,16.9,118.3,,,,
2012,Honda,Goldwing    ,Goldwing,64,trikeride.,13.7,876.8,,,,
2012,Honda,Goldwing    ,Goldwing,18,Obzhere,16.1,289.8,,,,
2010,Honda,Goldwing    ,Goldwing,154,bt,17.5,2695,,,,
2010,Honda,Goldwing    ,Goldwing,2,Yellowwing2,15.7,31.4,,,,
2008,Honda,Goldwing    ,Goldwing,60,HEAD,15.9,954,,,,
2008,Honda,Goldwing    ,Goldwing,6,mojony,20.5,123,,,,
2002,Honda,Goldwing    ,Goldwing,122,glgeek,16,1952,,,,
2000,Honda,Goldwing    ,Goldwing,152,LJ513,15,2280,,,,
2000,Honda,Goldwing    ,Goldwing,13,rjones.,15.7,204.1,,,,
1989,Honda,Goldwing &bull; Gas  ,Goldwing,12,signguy.,15.5,186,,,,
1986,Honda,Goldwing    ,Goldwing,21,MikeGrace,17.1,359.1,,,,
1980,Honda,Goldwing    ,Goldwing,3,hagenet,16,48,,,,
2000,Honda,GoldWing Aspencade   ,GoldWing,32,DMCox.,15.2,486.4,,,,
1996,Honda,GoldWing Aspencade   ,GoldWing,190,flogler,18.8,3572,,,,
1993,Honda,GoldWing Aspencade   ,GoldWing,2,homepodge,14.9,29.8,,,,
1992,Honda,GoldWing Aspencade   ,GoldWing,3,gregm784,5.1,15.3,,,,
1986,Honda,GoldWing Aspencade   ,GoldWing,23,rmt0523,19.8,455.4,,,,
1991,Honda,Hawk GT   ,Hawk,106,Yoyodyne,20.5,2173,,,,
1989,Honda,Hawk GT   ,Hawk,801,RonAl,19.6,15699.6,,,,
1989,Honda,Hawk GT   ,Hawk,4,09WhiteGTI,15.8,63.2,,,,
1989,Honda,Hawk GT   ,Hawk,3,sebeck1,15.1,45.3,,,,
1989,Honda,Hawk GT   ,Hawk,30,nervgs,13.6,408,,,,
1989,Honda,Hawk GT   ,Hawk,12,Bikeaholic,22,264,,,,
1989,Honda,Hawk GT   ,Hawk,15,ceebaby,22.3,334.5,,,,
1989,Honda,Hawk GT   ,Hawk,6,P57,22.6,135.6,,,,
1989,Honda,Hawk GT   ,Hawk,11,jauricchio,19.3,212.3,,,,
1989,Honda,Hawk GT   ,Hawk,31,awest,19.4,601.4,,,,
1989,Honda,Hawk GT   ,Hawk,1,calgap,17.4,17.4,,,,
1989,Honda,Hawk GT   ,Hawk,4,Dagus,21.5,86,,,,
1988,Honda,Hawk GT   ,Hawk,1,dl2ewpoo,15.5,15.5,,,,
1988,Honda,Hawk GT   ,Hawk,27,ibpitty,19.9,537.3,,,,
1988,Honda,Hawk GT   ,Hawk,8,Dans09Max,21.4,171.2,,,,
1988,Honda,Hawk GT   ,Hawk,1,deadbanana0717,17.1,17.1,,,,
1988,Honda,Hawk GT   ,Hawk,37,Sithappens,21.8,806.6,,,,
1988,Honda,Hawk GT   ,Hawk,193,phyxius,19.6,3782.8,,,,
1988,Honda,Hawk GT   ,Hawk,15,jdaviddixon,17.5,262.5,,,,
1988,Honda,Hawk GT   ,Hawk,70,phyxius,19.4,1358,,,,
2007,Honda,Helix    ,Helix,87,jbdiver,25.4,2209.8,,,,
2005,Honda,Helix    ,Helix,38,NJCharlie,28.3,1075.4,,,,
2004,Honda,Helix    ,Helix,104,RickRussellTX.,23.1,2402.4,,,,
2001,Honda,Helix    ,Helix,51,chieftmc,24.6,1254.6,,,,
2001,Honda,Helix    ,Helix,6,Quality,23.6,141.6,,,,
2001,Honda,Helix    ,Helix,8,MotoStreamn.,23.6,188.8,,,,
1999,Honda,Helix    ,Helix,4,jdgretz,28,112,,,,
1998,Honda,Helix    ,Helix,62,DOB012,27.7,1717.4,,,,
1998,Honda,Helix    ,Helix,6,Injuhneer.,20.9,125.4,,,,
1998,Honda,Helix    ,Helix,118,zupytupy,21.1,2489.8,,,,
1998,Honda,Helix    ,Helix,7,beandoc,24.9,174.3,,,,
1996,Honda,Helix    ,Helix,1,mach5er,22.4,22.4,,,,
1996,Honda,Helix    ,Helix,4,jwrose79.,25.3,101.2,,,,
1987,Honda,Helix    ,Helix,9,2MnB,24,216,,,,
1987,Honda,Helix    ,Helix,4,polaroidblog,23.8,95.2,,,,
1987,Honda,Helix    ,Helix,35,oldscooterguy.,27.8,973,,,,
1987,Honda,Helix    ,Helix,10,nerdnic,19.8,198,,,,
1987,Honda,Helix    ,Helix,20,TheGear,31.7,634,,,,
1987,Honda,Helix    ,Helix,1,smalan83,24.4,24.4,,,,
1987,Honda,Helix    ,Helix,1,ormondotvos.,31.4,31.4,,,,
1987,Honda,Helix    ,Helix,5,llaycock.,39.5,197.5,,,,
2011,Honda,Hornet 599 CB600F  ,Hornet,1,Forde,19.1,19.1,599,,,
2009,Honda,Hornet 599 CB600F  ,Hornet,2,stp417,12.6,25.2,599,,,
2009,Honda,Hornet 599 CB600F  ,Hornet,203,Gordon861,15.7,3187.1,599,,,
2009,Honda,Hornet 599 CB600F  ,Hornet,4,max7,17.7,70.8,599,,,
2008,Honda,Hornet 599 CB600F  ,Hornet,42,DrWorm,17.1,718.2,599,,,
2008,Honda,Hornet 599 CB600F  ,Hornet,61,Bobson,17.7,1079.7,599,,,
2006,Honda,Hornet 599 CB600F  ,Hornet,3,joaosilveira,20.9,62.7,599,,,
2006,Honda,Hornet 599 CB600F  ,Hornet,15,MadScientist.,20.1,301.5,599,,,
